Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2019-12-31,CN,CN,China,,,27,0,35.861660,104.195397,1433783686,
2020-01-01,CN,CN,China,,,27,0,35.861660,104.195397,1433783686,
2020-01-02,CN,CN,China,,,27,0,35.861660,104.195397,1433783686,
2020-01-03,CN,CN,China,,,44,0,35.861660,104.195397,1433783686,
2020-01-04,CN,CN,China,,,44,0,35.861660,104.195397,1433783686,
2020-01-05,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-06,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-07,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-08,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-09,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-10,CN,CN,China,,,59,0,35.861660,104.195397,1433783686,
2020-01-11,CN,CN,China,,,59,1,35.861660,104.195397,1433783686,
2020-01-12,CN,CN,China,,,59,1,35.861660,104.195397,1433783686,
2020-01-13,CN,CN,China,,,59,1,35.861660,104.195397,1433783686,
2020-01-14,CN,CN,China,,,59,1,35.861660,104.195397,1433783686,
2020-01-15,CN,CN,China,,,59,2,35.861660,104.195397,1433783686,
2020-01-16,CN,CN,China,,,59,2,35.861660,104.195397,1433783686,
2020-01-17,CN,CN,China,,,63,2,35.861660,104.195397,1433783686,
2020-01-18,CN,CN,China,,,80,2,35.861660,104.195397,1433783686,
2020-01-19,CN,CN,China,,,216,3,35.861660,104.195397,1433783686,
2020-01-20,CN,CN,China,,,235,3,35.861660,104.195397,1433783686,
2020-01-21,CN,CN,China,,,386,6,35.861660,104.195397,1433783686,
2020-01-22,CN,CN,China,,,526,17,35.861660,104.195397,1433783686,
2020-01-22,CN,CN,China,AH,Anhui,1,0,31.825700,117.226400,,Anhui
2020-01-22,CN,CN,China,BJ,Beijing,10,0,40.182400,116.414200,,Beijing
2020-01-22,CN,CN,China,CQ,Chongqing,5,0,30.057200,107.874000,,Chongqing
2020-01-22,CN,CN,China,GD,Guangdong,26,0,23.341700,113.424400,,Guangdong
2020-01-22,CN,CN,China,GX,Guangxi,0,0,23.829800,108.788100,,Guangxi
2020-01-22,CN,CN,China,GZ,Guizhou,0,0,26.815400,106.874800,,Guizhou
2020-01-22,CN,CN,China,HA,Henan,4,0,33.882000,113.614000,,Henan
2020-01-22,CN,CN,China,HB,Hubei,375,9,30.975600,112.270700,,Hubei
2020-01-22,CN,CN,China,HI,Hainan,4,0,19.195900,109.745300,,Hainan
2020-01-22,CN,CN,China,HL,Heilongjiang,0,0,47.862000,127.761500,,Heilongjiang
2020-01-22,CN,CN,China,HN,Hunan,1,0,27.610400,111.708800,,Hunan
2020-01-22,CN,CN,China,JL,Jilin,0,0,43.666100,126.192300,,Jilin
2020-01-22,CN,CN,China,JX,Jiangxi,2,0,27.614000,115.722100,,Jiangxi
2020-01-22,CN,CN,China,LN,Liaoning,2,0,41.295600,122.608500,,Liaoning
2020-01-22,CN,CN,China,NX,Ningxia,0,0,37.269200,106.165500,,Ningxia
2020-01-22,CN,CN,China,SC,Sichuan,2,0,30.617100,102.710300,,Sichuan
2020-01-22,CN,CN,China,SD,Shandong,1,0,36.342700,118.149800,,Shandong
2020-01-22,CN,CN,China,SH,Shanghai,9,0,31.202000,121.449100,,Shanghai
2020-01-22,CN,CN,China,SX,Shanxi,0,0,37.577700,112.292200,,Shanxi
2020-01-22,CN,CN,China,TJ,Tianjin,4,0,39.305400,117.323000,,Tianjin
2020-01-22,CN,CN,China,YN,Yunnan,1,0,24.974000,101.487000,,Yunnan
2020-01-22,CN,CN,China,ZJ,Zhejiang,10,0,29.183200,120.093400,,Zhejiang
2020-01-23,CN,CN,China,,,623,17,35.861660,104.195397,1433783686,
2020-01-23,CN,CN,China,AH,Anhui,9,0,31.825700,117.226400,,Anhui
2020-01-23,CN,CN,China,BJ,Beijing,14,0,40.182400,116.414200,,Beijing
2020-01-23,CN,CN,China,CQ,Chongqing,9,0,30.057200,107.874000,,Chongqing
2020-01-23,CN,CN,China,FJ,Fujian,5,0,26.078900,117.987400,,Fujian
