Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-02-24,CN_QH,CN,China,QH,Qinghai,18.0,0.0,35,96,5626722,Qinghai
2020-03-08,CN_XJ,CN,China,XJ,Xinjiang,76.0,3.0,41,85,21815815,Xinjiang
2020-03-16,CN_NX,CN,China,NX,Ningxia,75.0,0.0,36.6,105.32,6301350,Ningxia
2020-03-24,CN_HI,CN,China,HI,Hainan,168.0,6.0,19.2,109.7,9257600,Hainan
2020-04-02,CN_GX,CN,China,GX,Guangxi,254.0,2.0,23.6,108.3,48380000,Guangxi
2020-04-10,CN_JX,CN,China,JX,Jiangxi,937.0,1.0,27.3,116.0,45200000,Jiangxi
2020-04-14,CN_HA,CN,China,HA,Henan,1276.0,22.0,33.9,113.5,95590000,Henan
2020-04-17,CN_GS,CN,China,GS,Gansu,139.0,2.0,38,102,25575254,Gansu
2020-04-18,CN_HN,CN,China,HN,Hunan,1019.0,4.0,28.11265,112.98338,67370000,Hunan
2020-04-19,CN_GZ,CN,China,GZ,Guizhou,147.0,2.0,26.833,106.833,34746468,Guizhou
2020-04-20,CN_LN,CN,China,LN,Liaoning,146.0,2.0,41.1,122.3,43900000,Liaoning
2020-04-24,CN_CQ,CN,China,CQ,Chongqing,579.0,6.0,30.057200,107.874000,30484300,Chongqing
2020-04-24,CN_JS,CN,China,JS,Jiangsu,653.0,0.0,32.9,119.8,80400000,Jiangsu
2020-04-24,CN_SC,CN,China,SC,Sichuan,561.0,3.0,30.133,102.933,81100000,Sichuan
2020-04-25,CN_AH,CN,China,AH,Anhui,991.0,6.0,31.833,117.0,62000000,Anhui
2020-04-25,CN_FJ,CN,China,FJ,Fujian,355.0,1.0,26.078900,117.987400,38565000,Fujian
2020-04-25,CN_HE,CN,China,HE,Hebei,328.0,6.0,39.3,116.7,74700500,Hebei
2020-04-25,CN_SN,CN,China,SN,Shaanxi,286.0,3.0,35.6,108.4,37327378,Shaanxi
2020-04-26,CN_SH,CN,China,SH,Shanghai,642.0,7.0,31.22861,121.47472,24281400,Shanghai
2020-04-26,CN_TJ,CN,China,TJ,Tianjin,190.0,3.0,39.133,117.183,15621200,Tianjin
2020-04-26,CN_YN,CN,China,YN,Yunnan,185.0,2.0,25.050,101.867,45966239,Yunnan
2020-04-27,CN_BJ,CN,China,BJ,Beijing,593.0,9.0,40.182400,116.414200,24000000,Beijing
2020-04-27,CN_GD,CN,China,GD,Guangdong,1587.0,8.0,23.4,113.5,113460000,Guangdong
2020-04-27,CN_HB,CN,China,HB,Hubei,68128.0,4512.0,31.2,112.3,58500000,Hubei
2020-04-27,CN_HK,CN,China,HK,Hong Kong,1037.0,4.0,22.3,114.2,7392000,Hong Kong
2020-04-27,CN_HL,CN,China,HL,Heilongjiang,936.0,13.0,48,129,38312224,Heilongjiang
2020-04-27,CN_JL,CN,China,JL,Jilin,110.0,1.0,43.7,126.2,27462297,Jilin
2020-04-27,CN_MO,CN,China,MO,Macau,45.0,0.0,22.167,113.550,622567,Macau
2020-04-27,CN_SD,CN,China,SD,Shandong,787.0,7.0,36.4,118.4,100472400,Shandong
2020-04-27,CN_SX,CN,China,SX,Shanxi,197.0,0.0,37.7,112.4,36500000,Shanxi
2020-04-27,CN_TW,CN,China,TW,Taiwan,429.0,6.0,23.7,121.0,23580000,Taiwan
2020-04-27,CN_ZJ,CN,China,ZJ,Zhejiang,1268.0,1.0,29.2,120.5,57370000,Zhejiang
