ForecastDate,Date,Key,Estimated,Confirmed
2020-04-22,2020-03-26,AD,226,224
2020-04-22,2020-03-27,AD,255,267
2020-04-22,2020-03-28,AD,285,308
2020-04-22,2020-03-29,AD,315,334
2020-04-22,2020-03-30,AD,345,370
2020-04-22,2020-03-31,AD,374,376
2020-04-22,2020-04-01,AD,402,390
2020-04-22,2020-04-02,AD,430,428
2020-04-22,2020-04-03,AD,456,439
2020-04-22,2020-04-04,AD,481,466
2020-04-22,2020-04-05,AD,505,501
2020-04-22,2020-04-06,AD,527,526
2020-04-22,2020-04-07,AD,548,545
2020-04-22,2020-04-08,AD,568,564
2020-04-22,2020-04-09,AD,586,583
2020-04-22,2020-04-10,AD,603,601
2020-04-22,2020-04-11,AD,619,622
2020-04-22,2020-04-12,AD,634,638
2020-04-22,2020-04-13,AD,647,646
2020-04-22,2020-04-14,AD,660,659
2020-04-22,2020-04-15,AD,671,673
2020-04-22,2020-04-16,AD,681,682
2020-04-22,2020-04-17,AD,691,696
2020-04-22,2020-04-18,AD,699,704
2020-04-22,2020-04-19,AD,707,713
2020-04-22,2020-04-20,AD,714,717
2020-04-22,2020-04-21,AD,721,717
2020-04-22,2020-04-22,AD,727,723
2020-04-22,2020-04-23,AD,732,
2020-04-22,2020-04-24,AD,737,
2020-04-22,2020-04-25,AD,742,
2020-04-22,2020-04-26,AD,746,
2020-04-22,2020-04-27,AD,749,
2020-04-22,2020-04-28,AD,753,
2020-04-22,2020-04-29,AD,756,
2020-04-22,2020-03-26,AE,227,333
2020-04-22,2020-03-27,AE,298,405
2020-04-22,2020-03-28,AE,383,468
2020-04-22,2020-03-29,AE,486,468
2020-04-22,2020-03-30,AE,607,611
2020-04-22,2020-03-31,AE,747,664
2020-04-22,2020-04-01,AE,909,664
2020-04-22,2020-04-02,AE,1092,1024
2020-04-22,2020-04-03,AE,1298,1024
2020-04-22,2020-04-04,AE,1525,1505
2020-04-22,2020-04-05,AE,1775,1799
2020-04-22,2020-04-06,AE,2046,2076
2020-04-22,2020-04-07,AE,2337,2359
2020-04-22,2020-04-08,AE,2649,2659
2020-04-22,2020-04-09,AE,2979,2990
2020-04-22,2020-04-10,AE,3325,3360
2020-04-22,2020-04-11,AE,3687,3736
2020-04-22,2020-04-12,AE,4062,4123
2020-04-22,2020-04-13,AE,4448,4521
2020-04-22,2020-04-14,AE,4844,4933
2020-04-22,2020-04-15,AE,5247,5365
2020-04-22,2020-04-16,AE,5656,5825
2020-04-22,2020-04-17,AE,6068,5825
2020-04-22,2020-04-18,AE,6482,6302
2020-04-22,2020-04-19,AE,6896,6781
2020-04-22,2020-04-20,AE,7308,7265
2020-04-22,2020-04-21,AE,7717,7755
2020-04-22,2020-04-22,AE,8122,8238
2020-04-22,2020-04-23,AE,8520,
2020-04-22,2020-04-24,AE,8912,
2020-04-22,2020-04-25,AE,9296,
2020-04-22,2020-04-26,AE,9671,
2020-04-22,2020-04-27,AE,10037,
2020-04-22,2020-04-28,AE,10393,
2020-04-22,2020-04-29,AE,10738,
2020-04-22,2020-03-26,AF,76,75
2020-04-22,2020-03-27,AF,90,91
2020-04-22,2020-03-28,AF,106,106
2020-04-22,2020-03-29,AF,124,114
2020-04-22,2020-03-30,AF,144,141
2020-04-22,2020-03-31,AF,166,166
2020-04-22,2020-04-01,AF,190,192
2020-04-22,2020-04-02,AF,217,235
2020-04-22,2020-04-03,AF,245,235
2020-04-22,2020-04-04,AF,276,270
2020-04-22,2020-04-05,AF,310,299
2020-04-22,2020-04-06,AF,345,337
2020-04-22,2020-04-07,AF,383,367
2020-04-22,2020-04-08,AF,423,423
2020-04-22,2020-04-09,AF,465,484
2020-04-22,2020-04-10,AF,510,521
2020-04-22,2020-04-11,AF,556,555
2020-04-22,2020-04-12,AF,604,607
2020-04-22,2020-04-13,AF,654,665
2020-04-22,2020-04-14,AF,705,714
2020-04-22,2020-04-15,AF,758,784
2020-04-22,2020-04-16,AF,812,794
2020-04-22,2020-04-17,AF,868,845
2020-04-22,2020-04-18,AF,925,908
2020-04-22,2020-04-19,AF,982,996
2020-04-22,2020-04-20,AF,1041,1031
2020-04-22,2020-04-21,AF,1100,1092
2020-04-22,2020-04-22,AF,1159,1176
2020-04-22,2020-04-23,AF,1219,
2020-04-22,2020-04-24,AF,1279,
2020-04-22,2020-04-25,AF,1339,
2020-04-22,2020-04-26,AF,1400,
2020-04-22,2020-04-27,AF,1460,
2020-04-22,2020-04-28,AF,1520,
2020-04-22,2020-04-29,AF,1579,
2020-04-22,2020-03-26,AL,161,174
2020-04-22,2020-03-27,AL,177,186
2020-04-22,2020-03-28,AL,193,197
2020-04-22,2020-03-29,AL,210,212
2020-04-22,2020-03-30,AL,227,223
2020-04-22,2020-03-31,AL,245,243
2020-04-22,2020-04-01,AL,263,259
2020-04-22,2020-04-02,AL,281,277
2020-04-22,2020-04-03,AL,300,304
2020-04-22,2020-04-04,AL,318,333
2020-04-22,2020-04-05,AL,336,361
2020-04-22,2020-04-06,AL,355,377
2020-04-22,2020-04-07,AL,373,383
2020-04-22,2020-04-08,AL,391,400
2020-04-22,2020-04-09,AL,409,409
2020-04-22,2020-04-10,AL,426,416
2020-04-22,2020-04-11,AL,444,433
2020-04-22,2020-04-12,AL,461,446
2020-04-22,2020-04-13,AL,477,467
2020-04-22,2020-04-14,AL,494,475
2020-04-22,2020-04-15,AL,509,494
2020-04-22,2020-04-16,AL,525,518
2020-04-22,2020-04-17,AL,540,539
2020-04-22,2020-04-18,AL,555,548
2020-04-22,2020-04-19,AL,569,562
2020-04-22,2020-04-20,AL,582,584
2020-04-22,2020-04-21,AL,596,609
2020-04-22,2020-04-22,AL,608,634
2020-04-22,2020-04-23,AL,621,
2020-04-22,2020-04-24,AL,633,
2020-04-22,2020-04-25,AL,644,
2020-04-22,2020-04-26,AL,655,
2020-04-22,2020-04-27,AL,665,
2020-04-22,2020-04-28,AL,676,
2020-04-22,2020-04-29,AL,685,
2020-04-22,2020-03-26,AM,328,329
2020-04-22,2020-03-27,AM,365,372
2020-04-22,2020-03-28,AM,404,424
2020-04-22,2020-03-29,AM,444,424
2020-04-22,2020-03-30,AM,485,482
2020-04-22,2020-03-31,AM,528,532
2020-04-22,2020-04-01,AM,571,571
2020-04-22,2020-04-02,AM,615,663
2020-04-22,2020-04-03,AM,660,736
2020-04-22,2020-04-04,AM,706,770
2020-04-22,2020-04-05,AM,751,822
2020-04-22,2020-04-06,AM,797,833
2020-04-22,2020-04-07,AM,843,853
2020-04-22,2020-04-08,AM,888,881
2020-04-22,2020-04-09,AM,934,921
2020-04-22,2020-04-10,AM,978,937
2020-04-22,2020-04-11,AM,1022,967
2020-04-22,2020-04-12,AM,1066,1013
2020-04-22,2020-04-13,AM,1108,1039
2020-04-22,2020-04-14,AM,1150,1111
2020-04-22,2020-04-15,AM,1191,1159
2020-04-22,2020-04-16,AM,1231,1201
2020-04-22,2020-04-17,AM,1269,1248
2020-04-22,2020-04-18,AM,1307,1291
2020-04-22,2020-04-19,AM,1344,1339
2020-04-22,2020-04-20,AM,1379,1401
2020-04-22,2020-04-21,AM,1413,1473
2020-04-22,2020-04-22,AM,1446,1523
2020-04-22,2020-04-23,AM,1478,
2020-04-22,2020-04-24,AM,1509,
2020-04-22,2020-04-25,AM,1538,
2020-04-22,2020-04-26,AM,1567,
2020-04-22,2020-04-27,AM,1594,
2020-04-22,2020-04-28,AM,1620,
2020-04-22,2020-04-29,AM,1645,
2020-04-22,2020-03-26,AR,556,589
2020-04-22,2020-03-27,AR,631,690
2020-04-22,2020-03-28,AR,711,745
2020-04-22,2020-03-29,AR,796,820
