Key,Confirmed,Deaths
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,27,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,27,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,27,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,44,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,44,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,0
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,1
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,1
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,0,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,1
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,1,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,1
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,0,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,1,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,2
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
DZ,0,0
EC,0,0
EE,0,0
EG,0,0
ES,0,0
FI,0,0
FR,0,0
GB,0,0
GE,0,0
GR,0,0
HR,0,0
ID,0,0
IE,0,0
IL,0,0
IN,0,0
IQ,0,0
IR,0,0
IS,0,0
IT,0,0
JP,1,0
KH,0,0
KR,0,0
KW,0,0
LB,0,0
LK,0,0
LT,0,0
LU,0,0
MC,0,0
MK,0,0
MX,0,0
MY,0,0
NG,0,0
NL,0,0
NO,0,0
NP,0,0
NZ,0,0
OM,0,0
PH,0,0
PK,0,0
QA,0,0
RO,0,0
RU,0,0
SE,0,0
SG,0,0
SM,0,0
TH,1,0
TW,0,0
US,0,0
VN,0,0
AE,0,0
AF,0,0
AM,0,0
AT,0,0
AU,0,0
AZ,0,0
BE,0,0
BH,0,0
BR,0,0
BY,0,0
CA,0,0
CH,0,0
CN,59,2
CZ,0,0
DE,0,0
DK,0,0
DO,0,0
