Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-16,AE,1,1,5,2,-1,1
2020-02-16,AF,11,9,2,5,6,-1
2020-02-16,AO,-4,-3,2,4,-6,0
2020-02-16,AR,-8,-2,-23,7,-10,1
2020-02-16,AT,5,3,35,-4,9,0
2020-02-16,AU,0,7,-5,17,-1,-2
2020-02-16,AW,-2,-4,16,-20,-1,6
2020-02-16,BA,2,10,11,12,3,-1
2020-02-16,BB,-5,4,0,1,-4,1
2020-02-16,BD,4,2,3,5,1,1
2020-02-16,BE,2,4,7,3,1,0
2020-02-16,BF,-1,-1,-2,5,2,0
2020-02-16,BG,5,9,23,3,4,-2
2020-02-16,BH,-1,-3,-11,5,-5,0
2020-02-16,BJ,1,-2,-2,1,-2,1
2020-02-16,BO,2,-5,1,16,-4,0
2020-02-16,BR,0,9,-12,19,-2,-1
2020-02-16,BS,0,6,15,2,1,0
2020-02-16,BW,-13,-13,-9,8,-10,0
2020-02-16,BY,2,4,9,5,1,0
2020-02-16,BZ,-2,7,5,0,3,0
2020-02-16,CA,-15,-27,62,-51,-11,11
2020-02-16,CH,-3,-2,-2,-1,-2,1
2020-02-16,CI,1,2,7,-2,1,1
2020-02-16,CL,5,-3,11,-7,1,1
2020-02-16,CM,1,4,-2,2,-1,1
2020-02-16,CO,3,6,-4,15,-1,-1
2020-02-16,CR,5,2,1,20,-1,-3
2020-02-16,CV,-5,1,-7,0,-2,-1
2020-02-16,CZ,2,1,17,-2,4,0
2020-02-16,DE,2,1,8,-2,2,0
2020-02-16,DK,-1,-3,-1,-2,-3,1
2020-02-16,DO,3,-8,-3,-2,0,1
2020-02-16,EC,2,3,2,-4,3,1
2020-02-16,EE,-1,0,-3,0,4,1
2020-02-16,EG,3,4,6,15,0,-1
2020-02-16,ES,1,3,9,3,0,-1
2020-02-16,FI,2,-10,9,-13,3,2
2020-02-16,FJ,-3,-1,-3,9,-3,0
2020-02-16,FR,2,-6,16,-15,1,3
2020-02-16,GA,-8,-1,-9,0,-4,1
2020-02-16,GB,1,-2,23,-14,9,2
2020-02-16,GE,3,1,-1,4,1,0
2020-02-16,GH,-2,-4,-6,4,-4,1
2020-02-16,GR,3,10,24,3,8,-1
2020-02-16,GT,-1,-2,-1,4,-2,0
2020-02-16,HK,-3,-32,-15,-20,-23,15
2020-02-16,HN,5,0,1,10,-1,-2
2020-02-16,HR,3,5,18,1,6,-1
2020-02-16,HT,-3,-3,-6,0,-4,1
2020-02-16,HU,4,6,25,3,6,0
2020-02-16,ID,-4,-1,-7,3,-3,1
2020-02-16,IE,0,0,11,-8,8,2
2020-02-16,IL,1,1,10,1,3,0
2020-02-16,IN,1,1,3,4,0,0
2020-02-16,IQ,8,15,11,13,12,-1
2020-02-16,IT,1,3,7,1,0,0
2020-02-16,JM,-1,1,-10,3,-4,1
2020-02-16,JO,0,-2,11,4,-3,0
2020-02-16,JP,1,-1,-6,0,-3,1
2020-02-16,KE,1,6,6,3,5,0
2020-02-16,KG,2,-3,-2,11,1,-1
2020-02-16,KH,-1,-19,0,5,-2,2
2020-02-16,KR,-6,-7,-17,0,-7,5
2020-02-16,KW,2,5,-3,7,0,0
2020-02-16,KZ,0,-1,-2,8,1,0
2020-02-16,LA,3,-6,-2,9,-2,1
2020-02-16,LB,-2,10,0,1,-1,-1
2020-02-16,LK,1,2,4,6,-2,2
2020-02-16,LT,0,1,15,-14,2,3
2020-02-16,LU,-3,-11,0,-22,-3,4
2020-02-16,LV,-1,1,-2,1,0,1
2020-02-16,LY,1,-4,27,-21,-1,4
2020-02-16,MD,0,2,4,4,2,0
2020-02-16,MK,8,10,24,19,8,-2
2020-02-16,ML,0,8,3,5,4,0
2020-02-16,MM,1,1,0,5,-1,1
2020-02-16,MN,4,-7,-7,-3,-3,3
2020-02-16,MT,5,6,32,3,5,-1
2020-02-16,MU,-3,0,7,3,-3,0
2020-02-16,MX,4,5,3,11,2,-2
2020-02-16,MY,-3,-6,-4,2,-5,2
2020-02-16,MZ,-3,-3,-2,18,-3,-4
2020-02-16,NA,-14,-16,-3,6,-13,1
2020-02-16,NE,4,1,0,-3,2,2
2020-02-16,NG,-2,0,2,3,0,1
2020-02-16,NI,5,1,1,12,2,-1
2020-02-16,NL,-1,-3,7,-5,0,1
2020-02-16,NO,0,-5,12,-12,2,1
2020-02-16,NP,4,6,6,5,4,0
2020-02-16,NZ,-2,15,-5,30,-2,-3
2020-02-16,OM,-7,-1,-6,8,-6,0
2020-02-16,PA,5,5,0,5,4,-1
2020-02-16,PE,1,2,1,1,0,0
2020-02-16,PH,1,-2,-3,8,-1,1
2020-02-16,PK,8,9,11,3,8,-1
2020-02-16,PL,0,2,20,1,6,0
2020-02-16,PR,-5,-8,15,-26,-3,7
2020-02-16,PT,3,3,7,3,0,0
2020-02-16,PY,2,-3,-1,11,0,-1
2020-02-16,QA,-1,1,9,4,-1,1
2020-02-16,RO,3,7,11,2,4,-1
2020-02-16,RW,0,5,8,7,1,0
2020-02-16,SA,-4,-7,3,4,-8,2
2020-02-16,SE,-3,-6,-4,-6,-4,2
2020-02-16,SG,-7,-14,-7,-4,-12,7
2020-02-16,SI,0,-5,16,-10,1,1
2020-02-16,SK,4,5,42,-6,8,0
2020-02-16,SN,0,0,-1,2,-3,0
2020-02-16,SV,4,1,-2,5,0,0
2020-02-16,TG,2,-5,-2,0,-6,1
2020-02-16,TH,1,-4,-3,2,-3,1
2020-02-16,TJ,1,1,-2,15,2,-2
2020-02-16,TR,5,5,10,8,6,-1
2020-02-16,TT,8,13,11,0,11,0
2020-02-16,TW,-3,-17,-14,-3,-7,6
2020-02-16,TZ,-4,-2,-1,1,-5,1
2020-02-16,UG,-1,1,-4,9,1,0
2020-02-16,US,0,-9,28,-23,6,5
2020-02-16,US_AK,-2,-5,10,-32,4,8
2020-02-16,US_AL,0,7,16,-16,3,4
2020-02-16,US_AR,-2,-1,8,-16,1,4
