Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-04-20,US_AK,US,United States of America,AK,Alaska,321.0,9.0,61.370700,-152.404400,710249,AK
2020-04-20,US_AL,US,United States of America,AL,Alabama,5025.0,167.0,32.318200,-86.902300,4903185,AL
2020-04-20,US_AR,US,United States of America,AR,Arkansas,1923.0,42.0,34.969700,-92.373100,3017804,AR
2020-04-20,US_AZ,US,United States of America,AZ,Arizona,5064.0,187.0,33.729800,-111.431200,7278717,AZ
2020-04-20,US_CA,US,United States of America,CA,California,30978.0,1208.0,36.116200,-119.681600,39512223,CA
2020-04-20,US_CO,US,United States of America,CO,Colorado,9730.0,422.0,39.059800,-105.311100,5758736,CO
2020-04-20,US_CT,US,United States of America,CT,Connecticut,19815.0,1331.0,41.597800,-72.755400,3565287,CT
2020-04-20,US_DC,US,United States of America,DC,District of Columbia,2927.0,105.0,38.897400,-77.026800,705749,DC
2020-04-20,US_DE,US,United States of America,DE,Delaware,2745.0,72.0,39.318500,-75.507100,973764,DE
2020-04-20,US_FL,US,United States of America,FL,Florida,26660.0,806.0,27.766300,-81.686800,21477737,FL
2020-04-20,US_GA,US,United States of America,GA,Georgia,18947.0,733.0,33.040600,-83.643100,10617423,GA
2020-04-20,US_HI,US,United States of America,HI,Hawaii,580.0,10.0,21.094300,-157.498300,1415872,HI
2020-04-20,US_IA,US,United States of America,IA,Iowa,3159.0,79.0,42.011500,-93.210500,3155070,IA
2020-04-20,US_ID,US,United States of America,ID,Idaho,1672.0,45.0,44.240500,-114.478800,1787065,ID
2020-04-20,US_IL,US,United States of America,IL,Illinois,31508.0,1349.0,40.349500,-88.986100,12671821,IL
2020-04-20,US_IN,US,United States of America,IN,Indiana,11686.0,569.0,39.849400,-86.258300,6732219,IN
2020-04-20,US_KS,US,United States of America,KS,Kansas,1986.0,100.0,38.526600,-96.726500,2911505,KS
2020-04-20,US_KY,US,United States of America,KY,Kentucky,2960.0,148.0,37.668100,-84.670100,4468402,KY
2020-04-20,US_LA,US,United States of America,LA,Louisiana,24523.0,1328.0,31.169500,-91.867800,4648794,LA
2020-04-20,US_MA,US,United States of America,MA,Massachusetts,38077.0,1706.0,42.230200,-71.530100,6939373,MA
2020-04-20,US_MD,US,United States of America,MD,Maryland,13684.0,516.0,39.063900,-76.802100,6045680,MD
2020-04-20,US_ME,US,United States of America,ME,Maine,875.0,35.0,44.693900,-69.381900,1338404,ME
2020-04-20,US_MI,US,United States of America,MI,Michigan,32000.0,2468.0,43.326600,-84.536100,9883635,MI
2020-04-20,US_MN,US,United States of America,MN,Minnesota,2470.0,143.0,44.825400,-93.784200,5639632,MN
2020-04-20,US_MO,US,United States of America,MO,Missouri,5807.0,177.0,38.456100,-92.288400,6126452,MO
2020-04-20,US_MS,US,United States of America,MS,Mississippi,4512.0,169.0,32.741600,-89.678700,2976149,MS
