key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall,latitude,longitude,elevation,area,gdp,gdp_per_capita,population,life_expectancy,human_development_index,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
AT_11,Q43210,nuts/AT11,AT,Austria,11,Burgenland,,,AT,AUT,1,2020-05-21,0,0,,76,336,11,,10958,,,,,,,47.5,16.416667,333,3962,,,291023,,,,,,,,,,,,,,,,,,,,
AT_12,Q42497,nuts/AT12,AT,Austria,12,Niederösterreich,,,AT,AUT,1,2020-05-21,7,0,,1032,2806,99,,52614,,,,,,,48.333333,15.75,279,19186,,,1653419,,,,,,,,,,,,,,,,,,,,
AT_13,Q1741,nuts/AT13,AT,Austria,13,Wien,,,AT,AUT,1,2020-05-21,26,0,,2032,3014,144,,90228,,,,,,,48.20833,16.373064,151,415,,,1794770,,,,,,,,,,,,,,,,,,,,
AT_21,Q37985,nuts/AT21,AT,Austria,21,Kärnten,,,AT,AUT,1,2020-05-21,0,0,,147,411,13,,14910,,,,,,,46.761111,13.818889,1449,9536,,,560300,,,,,,,,,,,,,,,,,,,,
AT_22,Q41358,nuts/AT22,AT,Austria,22,Steiermark,,,AT,AUT,1,2020-05-21,2,0,,1106,1833,142,,44061,,,,,,,47.25,15.166667,200,16401,,,1231865,,,,,,,,,,,,,,,,,,,,
AT_31,Q41967,nuts/AT31,AT,Austria,31,Oberösterreich,,,AT,AUT,1,2020-05-21,2,0,,745,2286,60,,54982,,,,,,,48.2,14,343,11982,,,1453733,,,,,,,,,,,,,,,,,,,,
AT_32,Q43325,nuts/AT32,AT,Austria,32,Salzburg,,,AT,AUT,1,2020-05-21,0,0,,133,1220,38,,31329,,,,,,,47.766944,13.364167,827,7156,,,545742,,,,,,,,,,,,,,,,,,,,
AT_33,Q42880,nuts/AT33,AT,Austria,33,Tirol,,,AT,AUT,1,2020-05-21,2,0,,443,3534,107,,67834,,,,,,,47.266667,11.4,605,12648,,,739002,,,,,,,,,,,,,,,,,,,,
AT_34,Q38981,nuts/AT34,AT,Austria,34,Vorarlberg,,,AT,AUT,1,2020-05-21,1,0,,301,895,19,,18691,,,,,,,47.243611,9.893889,1063,2601,,,388711,,,,,,,,,,,,,,,,,,,,
AU_ACT,Q3258,,AU,Australia,ACT,Australian Capital Territory,,,AU,AUS,1,2020-05-21,0,0,0,311,107,3,104,15023,,,,,,,-35.45,148.98056,892,2358,,,385600,,,,,,,,,,,,,,,,,,,,
AU_NSW,Q3224,,AU,Australia,NSW,New South Wales,,,AU,AUS,1,2020-05-21,1,0,17,9734,3082,47,2648,394012,,,,,,,-32,147,160,801150,,,7500600,,,,,,,,,,,,,,,,,,,,
AU_NT,Q3235,,AU,Australia,NT,Northern Territory,,,AU,AUS,1,2020-05-21,0,0,1,136,29,0,30,6809,,,,,,,-20,133,326,1347791,,,211945,,,,,,,,,,,,,,,,,,,,
AU_QLD,Q36074,,AU,Australia,QLD,Queensland,,,AU,AUS,1,2020-05-21,0,0,0,3317,1058,6,1040,166877,,,,,,,-20,143,744,1729742,,,4708500,,,,,,,,,,,,,,,,,,,,
AU_SA,Q35715,,AU,Australia,SA,South Australia,,,AU,AUS,1,2020-05-21,0,0,0,1692,439,4,435,85565,,,,,,,-30,135,162,984321,,,1682600,,,,,,,,,,,,,,,,,,,,
AU_TAS,Q34366,,AU,Australia,TAS,Tasmania,,,AU,AUS,1,2020-05-21,0,0,2,421,228,13,198,23448,,,,,,,-42,147,1009,68401,,,514700,,,,,,,,,,,,,,,,,,,,
AU_VIC,Q36687,,AU,Australia,VIC,Victoria,,,AU,AUS,1,2020-05-21,1,0,8,11401,1581,18,1473,378673,,,,,,,-37,144,236,227444,,,5821300,,,,,,,,,,,,,,,,,,,,
AU_WA,Q3206,,AU,Australia,WA,Western Australia,,,AU,AUS,1,2020-05-21,0,0,0,1818,557,9,545,71462,,,,,,,-26,121,536,2527013,,,2565600,,,,,,,,,,,,,,,,,,,,
CA,Q16,country/CAN,CA,Canada,,,,,CA,CAN,0,2020-05-21,453,32,415,-5392,80544,6062,41108,1369734,,,,,,,56,-109,,9984670,4.1093454E+10,2294,35158300,80,0.827,,,,,,,,,,,,,,,,,,
CA_AB,Q1951,,CA,Canada,AB,Alberta,,,CA,CAN,1,2020-05-21,19,0,53,0,6735,128,5637,203397,,,,,,,55,-115,,661848,,,4067175,,,,,,,,,,,,,,,,,,,,
CA_BC,Q1974,,CA,Canada,BC,British Columbia,,,CA,CAN,1,2020-05-21,0,0,0,1168,2467,149,2001,108320,,,,,,,54.5,-124.5,,944735,,,4659272,,,,,,,,,,,,,,,,,,,,
CA_MB,Q1948,,CA,Canada,MB,Manitoba,,,CA,CAN,1,2020-05-21,0,0,3,590,279,7,260,35723,,,,,,,55,-97,,647797,,,1289792,,,,,,,,,,,,,,,,,,,,
CA_NB,Q1965,,CA,Canada,NB,New Brunswick,,,CA,CAN,1,2020-05-21,0,0,0,359,120,0,120,20104,,,,,,,46.6,-66,,72908,,,754260,,,,,,,,,,,,,,,,,,,,
CA_NL,Q2003,,CA,Canada,NL,Newfoundland and Labrador,,,CA,CAN,1,2020-05-21,0,0,3,126,260,3,253,10967,,,,,,,53,-60,,405212,,,526329,,,,,,,,,,,,,,,,,,,,
CA_NS,Q1952,,CA,Canada,NS,Nova Scotia,,,CA,CAN,1,2020-05-21,0,0,0,343,1045,57,956,38275,,,,,,,45,-63,,55283,,,943575,,,,,,,,,,,,,,,,,,,,
CA_NT,Q2007,,CA,Canada,NT,Northwest Territories,,,CA,CAN,1,2020-05-21,0,0,0,-3,5,0,5,1887,,,,,,,66,-119,,1346106,,,43595,,,,,,,,,,,,,,,,,,,,
CA_NU,Q2023,,CA,Canada,NU,Nunavut,,,CA,CAN,1,2020-05-21,0,0,0,9,0,0,0,685,,,,,,,70,-90,,2038722,,,38243,,,,,,,,,,,,,,,,,,,,
CA_ON,Q1904,,CA,Canada,ON,Ontario,,,CA,CAN,1,2020-05-21,413,31,319,-8384,24187,1993,18509,558792,,,,,,,50,-85,,1076395,,,13733544,,,,,,,,,,,,,,,,,,,,
CA_PE,Q1979,,CA,Canada,PE,Prince Edward Island,,,CA,CAN,1,2020-05-21,0,0,0,0,27,0,27,4951,,,,,,,46.25,-63,,5620,,,146455,,,,,,,,,,,,,,,,,,,,
CA_QC,Q176,,CA,Canada,QC,Quebec,,,CA,CAN,1,2020-05-21,0,0,0,0,44775,3718,12822,346684,,,,,,,52,-72,,1542056,,,7903001,,,,,,,,,,,,,,,,,,,,
CA_SK,Q1989,,CA,Canada,SK,Saskatchewan,,,CA,CAN,1,2020-05-21,21,1,24,400,620,7,494,38732,,,,,,,55,-106,,651900,,,1132640,,,,,,,,,,,,,,,,,,,,
CA_YT,Q2009,,CA,Canada,YT,Yukon,,,CA,CAN,1,2020-05-21,0,0,0,0,11,0,11,1141,,,,,,,60.72086,-135.05323,,482443,,,36589,,,,,,,,,,,,,,,,,,,,
CH_BE,Q11911,nuts/CH021,CH,Switzerland,BE,Bern,,,CH,CHE,1,2020-05-21,2,0,,,1869,96,,,,,,,,,46.833333,7.616667,542,5959,,,1034977,,,,,,,,,,,,,,,,,,,,
CH_BL,Q12146,nuts/CH032,CH,Switzerland,BL,Basel-Landschaft,,,CH,CHE,1,2020-05-21,0,0,0,,838,35,798,,,,,,,,47.463056,7.755833,327,518,,,288132,,,,,,,,,,,,,,,,,,,,
