date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-12,AD,FRE00106205,61.747,9.7,14.3,94,
2020-05-12,AE,AEM00041217,35.739,,34.4,,
2020-05-12,AF,AFM00040990,278.428,21.5,36.9,,
2020-05-12,AL,ALM00013615,51.729,,26.1,,
2020-05-12,AM,AM000037801,15.954,-4,15,0,
2020-05-12,AN,VQW00011624,326.538,,31.7,38,
2020-05-12,AO,AO000066390,499.718,,,,
2020-05-12,AQ,AYW00090001,0,,,,
2020-05-12,AR,AR000087534,60.172,4.3,20.5,,
2020-05-12,AR_A,AR000870470,9.992,9,21.9,,
2020-05-12,AR_B,ARM00087640,44.9,1,,,
2020-05-12,AR_C,ARM00087582,5.499,9.8,20.3,,
2020-05-12,AR_D,ARM00087436,3.055,10.3,,,
2020-05-12,AR_E,AR000087374,35.08,12.5,24,,
2020-05-12,AR_F,AR000087217,6.447,6.7,25.3,,
2020-05-12,AR_G,AR000087129,3.75,7.7,26,,
2020-05-12,AR_H,AR000087155,6.253,,31,,
2020-05-12,AR_J,ARM00087311,94.538,3.5,20,,
2020-05-12,AR_K,ARM00087222,14.708,5.6,25.8,,
2020-05-12,AR_L,AR000087623,5.737,3.7,,,
2020-05-12,AR_M,AR000087418,8.752,4.2,,,
2020-05-12,AR_N,PAM00086285,67.452,19.4,,5,
2020-05-12,AR_P,ARM00087162,6.234,,31.5,0,
2020-05-12,AR_Q,AR000087715,5.069,2.2,17.5,,
2020-05-12,AR_R,ARM00087791,7.675,1.9,,,
2020-05-12,AR_S,AR000087534,113.064,4.3,20.5,,
2020-05-12,AR_T,ARM00087121,42.982,9.2,,,
2020-05-12,AR_U,AR000087828,17.452,2.3,16.2,,
2020-05-12,AR_V,ARM00087934,65.361,,7.6,,
2020-05-12,AR_W,ARM00087289,123.511,,27.8,,
2020-05-12,AR_X,ARM00087349,38.654,3.3,,,
2020-05-12,AR_Y,ARM00087046,82.353,12.3,24.6,,
2020-05-12,AR_Z,ARM00087909,156.16,0.4,14,0,
2020-05-12,AS,AQW00061705,3.923,,,,
2020-05-12,AT,AU000005010,11.356,2.1,13.9,,
2020-05-12,AT_11,AU000005901,81.694,4.1,15.9,,
2020-05-12,AT_12,AUM00011389,19.407,5.1,17.2,,
2020-05-12,AT_13,AU000005901,3.242,4.1,15.9,,
2020-05-12,AT_22,AU000016402,28.35,,,51,
2020-05-12,AT_31,AU000005010,19.391,2.1,13.9,,
2020-05-12,AT_32,AUM00011155,26.948,-4.1,5.3,,
2020-05-12,AT_33,AU000011801,0.004,4,,,
2020-05-12,AU,ASN00017043,160.768,6,,0,
2020-05-12,AU_ACT,ASN00070339,10.839,-1.9,,0,
2020-05-12,AU_NSW,ASN00051049,89.528,3.1,,0,
2020-05-12,AU_NT,ASN00015135,130.055,14.5,,0,
2020-05-12,AU_QLD,ASN00030161,78.993,13.9,,0,
2020-05-12,AU_SA,ASN00016098,88.244,4.1,,0,
2020-05-12,AU_TAS,ASN00096033,29.537,5.2,,0,
2020-05-12,AU_VIC,ASN00088110,23.065,6.2,,0,
2020-05-12,AU_WA,ASN00013015,198.938,10.5,,0,
2020-05-12,AW,COM00080035,339.301,,,,
2020-05-12,AZ,AJ000037749,39.16,10.9,24.1,0,
2020-05-12,BA,BKM00014652,22.581,,,3,
2020-05-12,BB,TDM00078970,347.958,22.4,33.3,112,
2020-05-12,BD,BGM00041923,58.787,25.6,36.5,0,
2020-05-12,BE,BE000006447,28.53,3.3,11.9,0,
2020-05-12,BF,UVM00065503,61.037,,37.7,,
2020-05-12,BG,BUM00015730,122.732,15.1,27.5,0,
