date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-04-14,AE,-62,-31,-74,-78,-55,30
2020-04-14,AF,-48,-32,-14,-52,-42,15
2020-04-14,AG,-74,-52,-59,-81,-75,
2020-04-14,AO,-52,-35,-40,-57,-51,27
2020-04-14,AR,-81,-31,-70,-63,-54,24
2020-04-14,AR_B,-82,-30,-75,-59,-57,25
2020-04-14,AR_L,-80,-33,-61,-64,-43,22
2020-04-14,AR_R,-85,-50,-79,-92,-52,27
2020-04-14,AR_T,-77,-27,-51,-52,-46,20
2020-04-14,AR_W,-76,-37,-67,-76,-39,18
2020-04-14,AR_Y,-76,-26,-64,-78,-39,19
2020-04-14,AT,-62,-16,-41,-62,-53,21
2020-04-14,AU,-37,-7,-35,-61,-42,19
2020-04-14,AU_ACT,-40,-1,-11,-61,-50,22
2020-04-14,AU_NSW,-38,-6,-34,-62,-46,20
2020-04-14,AU_NT,-21,-5,-10,-45,-19,12
2020-04-14,AU_QLD,-31,-2,-29,-58,-38,16
2020-04-14,AU_SA,-30,4,-24,-51,-34,15
2020-04-14,AU_TAS,-51,-25,-61,-59,-42,18
2020-04-14,AU_VIC,-42,-14,-42,-71,-47,22
2020-04-14,AU_WA,-30,-3,-27,-57,-35,16
2020-04-14,AW,-61,-20,-45,-66,-64,29
2020-04-14,BA,-65,-30,-32,-61,-48,18
2020-04-14,BB,-81,-76,-70,-84,-76,34
2020-04-14,BD,-75,-55,-32,-73,-66,27
2020-04-14,BE,-73,-11,-26,-70,-66,27
2020-04-14,BF,-26,-20,-15,-43,-17,18
2020-04-14,BG,-49,-16,-35,-52,-43,16
2020-04-14,BH,-35,-15,-35,-33,-24,16
2020-04-14,BJ,-19,-9,-4,-18,-15,10
2020-04-14,BO,-84,-73,-77,-82,-77,38
2020-04-14,BR,-56,-20,-54,-55,-39,18
2020-04-14,BS,-41,-9,-34,-81,-60,24
2020-04-14,BW,-64,-53,-26,-77,-67,39
2020-04-14,BY,-22,-7,-7,-26,-25,9
2020-04-14,BZ,-68,-44,-55,-80,-71,28
2020-04-14,CA,-50,-16,-11,-68,-60,24
2020-04-14,CA_AB,-46,-15,-30,-69,-53,23
2020-04-14,CA_BC,-44,-16,58,-60,-54,21
2020-04-14,CA_MB,-43,-10,-25,-60,-48,21
2020-04-14,CA_NB,-40,-21,15,-52,-56,20
2020-04-14,CA_NL,-49,-31,-36,-65,-60,20
2020-04-14,CA_NS,-49,-26,-15,-66,-60,21
2020-04-14,CA_NT,,,,-57,-44,
2020-04-14,CA_NU,,,,,-34,
2020-04-14,CA_ON,-52,-14,-31,-70,-63,25
2020-04-14,CA_PE,-48,-17,,,-54,19
2020-04-14,CA_QC,-54,-22,-23,-73,-66,27
2020-04-14,CA_SK,-44,-12,23,-53,-49,19
2020-04-14,CA_YT,,,,,-46,
2020-04-14,CH,-73,-4,11,-52,-47,21
2020-04-14,CH_AG,-67,6,68,-43,-41,19
2020-04-14,CH_AI,,,,,-25,
2020-04-14,CH_AR,,,,-40,-34,
2020-04-14,CH_BL,-66,14,,-40,-43,19
2020-04-14,CH_FR,-71,-7,,-50,-49,22
2020-04-14,CH_GE,-80,-20,-17,-73,-68,29
2020-04-14,CH_GL,,,,-14,-28,
2020-04-14,CH_GR,-79,-17,-39,-53,-38,15
2020-04-14,CH_JU,-76,3,,-41,-49,
2020-04-14,CH_LU,-67,2,-1,-47,-38,18
2020-04-14,CH_NE,-66,-7,,-49,-57,23
2020-04-14,CH_NW,,,,-46,-41,
2020-04-14,CH_OW,,,,-40,-36,
2020-04-14,CH_SG,-69,4,,-38,-35,17
2020-04-14,CH_SH,,,,-43,-38,
2020-04-14,CH_SO,-65,6,,-45,-38,18
2020-04-14,CH_SZ,-54,9,,-40,-34,17
2020-04-14,CH_TG,-68,7,,-41,-31,15
2020-04-14,CH_TI,-81,-20,-30,-64,-57,25
2020-04-14,CH_UR,,,,-58,-32,
2020-04-14,CH_VD,-77,-11,3,-59,-59,26
2020-04-14,CH_VS,-79,-21,-15,-46,-46,19
2020-04-14,CI,-29,-16,-21,-33,-23,16
2020-04-14,CL,-62,-38,-60,-59,-48,23
2020-04-14,CL_AI,-56,-31,-57,-77,-29,15
2020-04-14,CL_AN,-52,-39,-57,-51,-35,19
2020-04-14,CL_AP,-48,-8,-66,-46,-36,17
2020-04-14,CL_AT,-50,-34,-55,-55,-31,19
2020-04-14,CL_CO,-67,-47,-75,-52,-41,19
2020-04-14,CL_LI,-49,-33,-51,-47,-31,18
2020-04-14,CL_LL,-66,-47,-64,-61,-43,21
2020-04-14,CL_LR,-67,-47,-73,-62,-43,20
2020-04-14,CL_ML,-51,-35,-51,-49,-31,19
2020-04-14,CL_NB,-70,-57,-52,-83,-69,
2020-04-14,CL_TA,-62,-37,-67,-48,-39,21
2020-04-14,CL_VS,-62,-42,-66,-55,-42,20
2020-04-14,CM,-24,-19,-20,-24,-18,12
2020-04-14,CO,-77,-54,-69,-77,-69,33
2020-04-14,CO_AMA,,,-63,,-41,
2020-04-14,CO_ANT,-79,-55,-68,-80,-71,33
2020-04-14,CO_ARA,,-48,-59,-51,-54,
2020-04-14,CO_CAL,-78,-59,-67,-87,-66,29
2020-04-14,CO_CAS,-75,-60,-61,-70,-57,30
2020-04-14,CO_CAU,-75,-54,-63,-71,-59,26
2020-04-14,CO_CAU,-75,-52,-72,-72,-65,30
2020-04-14,CO_CES,-75,-55,-64,-79,-60,25
2020-04-14,CO_CUN,-71,-53,-64,-72,-63,36
2020-04-14,CO_GUV,,,-60,,-41,
2020-04-14,CO_HUI,-75,-53,-70,,-63,28
2020-04-14,CO_LAG,-68,-42,-57,-66,-52,23
2020-04-14,CO_MAG,-78,-62,-77,-84,-63,25
2020-04-14,CO_MET,-74,-54,-60,-65,-60,30
2020-04-14,CO_PUT,-69,-62,-62,,-48,
2020-04-14,CO_RIS,-78,-52,-73,-80,-71,31
2020-04-14,CO_SAN,-76,-51,-68,-75,-68,30
2020-04-14,CO_SUC,-74,-47,-60,-90,-55,23
2020-04-14,CO_TOL,-77,-55,-60,-79,-64,29
2020-04-14,CO_VAC,-75,-52,-72,-72,-65,30
2020-04-14,CO_VID,,,-35,,-22,
2020-04-14,CR,-46,-26,-53,-55,-41,19
2020-04-14,CV,-64,-51,-56,-84,-62,29
2020-04-14,CZ,-64,1,-39,-50,-41,18
2020-04-14,DE,-45,1,8,-52,-45,17
2020-04-14,DE_BB,-27,7,13,-43,-42,14
2020-04-14,DE_BE,-52,1,-21,-54,-54,19
2020-04-14,DE_BW,-44,1,21,-53,-47,18
2020-04-14,DE_BY,-57,0,-8,-58,-47,19
2020-04-14,DE_HB,-47,2,-13,-55,-47,16
2020-04-14,DE_HE,-44,-1,17,-62,-48,16
2020-04-14,DE_HH,-53,3,4,-57,-51,20
2020-04-14,DE_MV,-40,0,5,-41,-38,12
2020-04-14,DE_NI,-43,-2,8,-47,-44,16
2020-04-14,DE_NW,-42,2,29,-53,-47,16
2020-04-14,DE_RP,-38,2,20,-57,-46,16
2020-04-14,DE_SH,-39,3,15,-47,-45,15
2020-04-14,DE_SL,-42,-6,24,-60,-49,17
2020-04-14,DE_SN,-47,-2,27,-47,-42,15
2020-04-14,DE_ST,-31,0,17,-43,-33,11
2020-04-14,DE_TH,-32,-3,20,-40,-41,13
2020-04-14,DK,-15,4,65,-53,-49,16
2020-04-14,DO,-71,-51,-61,-81,-69,30
2020-04-14,EC,-77,-59,-73,-77,-79,36
2020-04-14,EE,-47,-21,-19,-50,-50,20
2020-04-14,EG,-55,-11,-32,-47,-31,14
2020-04-14,ES,-87,-41,-75,-79,-67,29
2020-04-14,ES_AN,-87,-49,-74,-80,-67,26
2020-04-14,ES_AS,-89,-42,-71,-67,-64,25
2020-04-14,ES_CB,-85,-32,-72,-73,-62,26
2020-04-14,ES_CE,-92,-53,-84,,-66,
2020-04-14,ES_CM,-84,-32,-71,-77,-62,25
2020-04-14,ES_CN,-89,-49,-85,-79,-67,25
2020-04-14,ES_CT,-87,-35,-75,-79,-70,32
2020-04-14,ES_EX,-86,-50,-61,-74,-61,22
2020-04-14,ES_GA,-85,-40,-61,-78,-62,27
2020-04-14,ES_IB,-85,-36,-74,-80,-63,28
2020-04-14,ES_MC,-85,-43,-74,-71,-60,26
2020-04-14,ES_MD,-91,-44,-84,-84,-77,35
2020-04-14,ES_ML,-85,-47,-79,-78,-65,
2020-04-14,ES_NC,-85,-25,-72,-80,-62,26
2020-04-14,ES_PV,-86,-25,-76,-74,-64,29
2020-04-14,ES_RI,-87,-28,-73,-78,-58,24
2020-04-14,ES_VC,-87,-37,-77,-81,-64,27
2020-04-14,FI,-45,-13,11,-58,-50,17
2020-04-14,FJ,-39,-24,-23,-52,-39,20
2020-04-14,FR,-79,-22,-59,-78,-70,31
2020-04-14,FR_ARA,-79,-24,-57,-79,-68,32
2020-04-14,FR_BFC,-77,-24,-47,-72,-64,28
2020-04-14,FR_BRE,-78,-22,-42,-74,-65,28
2020-04-14,FR_COR,-80,-32,-50,-73,-61,24
2020-04-14,FR_CVL,-77,-21,-55,-76,-67,29
2020-04-14,FR_GES,-78,-22,-51,-78,-68,29
2020-04-14,FR_HDF,-77,-21,-56,-79,-69,29
2020-04-14,FR_IDF,-82,-20,-82,-80,-79,37
2020-04-14,FR_NAQ,-77,-22,-51,-75,-64,28
2020-04-14,FR_NOR,-79,-19,-53,-78,-66,28
2020-04-14,FR_OCC,-77,-23,-45,-77,-69,29
2020-04-14,FR_PAC,-77,-26,-58,-74,-68,28
2020-04-14,FR_PDL,-78,-20,-48,-80,-68,31
2020-04-14,GA,-56,-46,-21,-65,-56,31
2020-04-14,GB,-71,-26,-10,-69,-70,27
2020-04-14,GE,-62,-34,-17,-55,-60,19
2020-04-14,GH,-46,-35,-28,-54,-46,25
2020-04-14,GR,-68,-3,-33,-65,-54,21
