key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,latitude,longitude,elevation,area,gdp,gdp_per_capita,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall,population,life_expectancy,human_development_index,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-22,3,2,1,0,1,1,0,3,2,0,0,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,10.2,14.1,330,,13414,,0.819,6,0,,,723,37,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-23,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,10.9,16.4,8,,13414,,0.819,1,0,,,724,37,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-24,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,6.8,23.5,0,,13414,,0.819,7,3,,,731,40,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-25,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,10.5,22.3,3,,13414,,0.819,2,0,,,733,40,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-26,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,12.4,20,236,,13414,,0.819,7,0,,,740,40,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-27,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,9.2,17.7,3,,13414,,0.819,3,0,,,743,40,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-28,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,,16.6,201,,13414,,0.819,0,1,,,743,41,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-29,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,5.4,20.2,46,,13414,,0.819,0,1,,,743,42,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-04-30,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,,20.5,0,,13414,,0.819,2,0,,,745,42,,
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0,2020-05-01,3,2,1,0,1,1,0,3,2,0,,,2,3,1,0,0,59.12,42.558333,1.555278,,468,78619206,3238,FRE00106205,61.747,8.3,21.6,20,,13414,,0.819,1,1,,,746,43,,
