date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-19,AD,0,0,,,761,51,,
2020-05-19,AE,873,3,,,25063,227,,
2020-05-19,AF,581,5,,,7653,178,,
2020-05-19,AG,0,0,,,25,3,,
2020-05-19,AI,0,0,,,3,0,,
2020-05-19,AL,1,0,,,949,31,,
2020-05-19,AM,218,3,,,5041,64,,
2020-05-19,AO,2,0,,,50,2,,
2020-05-19,AR,438,11,,,8796,393,,112370
2020-05-19,AR_A,0,,,,5,,,
2020-05-19,AR_B,157,2,,,2918,163,,
2020-05-19,AR_C,274,5,,,4404,160,,
2020-05-19,AR_D,0,,,,10,,,
2020-05-19,AR_E,0,,,,29,,,
2020-05-19,AR_F,0,0,,,63,7,,
2020-05-19,AR_G,0,,,,21,,,
2020-05-19,AR_H,20,0,,,640,35,,
2020-05-19,AR_J,0,,,,4,,,
2020-05-19,AR_L,0,,,,5,,,
2020-05-19,AR_M,0,0,,,82,9,,
2020-05-19,AR_N,0,0,,,25,1,,
2020-05-19,AR_Q,0,0,,,114,5,,
2020-05-19,AR_R,6,1,,,331,14,,
2020-05-19,AR_S,0,0,,,249,3,,
2020-05-19,AR_T,0,0,,,42,4,,
2020-05-19,AR_U,0,,,,4,,,
2020-05-19,AR_V,0,,,,135,,,
2020-05-19,AR_W,0,,,,78,,,
2020-05-19,AR_X,9,0,,,431,26,,
2020-05-19,AR_Y,0,,,,5,,,
2020-05-19,AR_Z,0,,,,49,,,
2020-05-19,AT,78,3,,7157,16257,632,,379592
2020-05-19,AT_11,1,0,,47,338,11,,10431
2020-05-19,AT_12,-9,1,,904,2789,99,,50494
2020-05-19,AT_13,41,0,,2502,2964,144,,86247
2020-05-19,AT_21,0,0,,399,411,13,,14410
2020-05-19,AT_22,4,2,,701,1827,142,,42090
2020-05-19,AT_31,12,0,,833,2288,60,,52924
2020-05-19,AT_32,3,0,,401,1219,37,,30881
2020-05-19,AT_33,2,0,,569,3532,107,,66854
2020-05-19,AT_34,6,0,,206,893,19,,18104
2020-05-19,AU,8,0,,25697,7068,99,,1111567
2020-05-19,AU_ACT,0,0,0,158,107,3,104,14448
2020-05-19,AU_NSW,2,1,2,5304,3078,47,2614,377185
2020-05-19,AU_NT,0,0,0,100,29,0,28,6517
2020-05-19,AU_QLD,0,0,1,2886,1057,6,1039,158641
2020-05-19,AU_SA,0,0,0,1548,439,4,435,81998
2020-05-19,AU_TAS,0,0,0,351,228,13,195,22597
2020-05-19,AU_VIC,6,0,15,12830,1573,18,1454,358120
2020-05-19,AU_WA,0,0,0,1110,557,9,545,67649
2020-05-19,AW,0,0,,,101,3,,
2020-05-19,AZ,231,1,,,3518,41,,
2020-05-19,BA,16,1,,,2319,133,,
2020-05-19,BB,2,0,,,90,7,,
2020-05-19,BD,1251,21,,10207,25121,370,,203852
2020-05-19,BE,232,28,,13724,55791,9108,,613168
2020-05-19,BF,10,1,,,806,52,,
2020-05-19,BG,33,4,,1433,2292,116,,68243
2020-05-19,BH,348,0,,7428,7532,12,,255633
2020-05-19,BI,0,0,,,42,1,,
2020-05-19,BJ,-209,0,,,130,2,,
2020-05-19,BM,0,0,,,125,9,,
2020-05-19,BN,0,0,,,141,1,,
2020-05-19,BO,218,15,,438,4481,189,,11005
2020-05-19,BO_B,98,6,,,679,47,,
2020-05-19,BO_C,18,1,,,246,11,,
2020-05-19,BO_L,13,1,,,355,21,,
2020-05-19,BO_O,1,0,,,139,9,,
2020-05-19,BO_S,88,7,,,2982,95,,
2020-05-19,BQ,0,0,,,6,0,,
2020-05-19,BR,17408,1179,,,271628,17971,,
2020-05-19,BR_AC,248,5,,,2482,72,,
2020-05-19,BR_AL,285,10,,,4316,231,,
2020-05-19,BR_AM,1219,58,,,22132,1491,,
2020-05-19,BR_AP,287,9,,,4310,136,,
2020-05-19,BR_BA,2432,14,,,11013,326,,
2020-05-19,BR_CE,1749,108,,,28112,1856,,
2020-05-19,BR_DF,234,6,,,4853,72,,
2020-05-19,BR_ES,536,23,,,7693,325,,
2020-05-19,BR_GO,97,0,,,1846,73,,
2020-05-19,BR_MA,960,28,,,14198,604,,
2020-05-19,BR_MG,282,6,,,4977,167,,
2020-05-19,BR_MS,29,0,,,642,16,,
2020-05-19,BR_MT,58,3,,,995,32,,
2020-05-19,BR_PA,1561,190,,,16295,1519,,
2020-05-19,BR_PB,514,12,,,5300,219,,
2020-05-19,BR_PE,1148,101,,,21242,1741,,
2020-05-19,BR_PI,153,5,,,2440,85,,
2020-05-19,BR_PR,121,2,,,2481,129,,
2020-05-19,BR_RJ,1140,227,,,27805,3079,,
2020-05-19,BR_RN,299,14,,,3483,160,,
2020-05-19,BR_RO,214,10,,,2257,87,,
2020-05-19,BR_RR,109,1,,,1985,61,,
2020-05-19,BR_RS,15,7,,,3750,151,,
2020-05-19,BR_SC,238,6,,,5413,91,,
2020-05-19,BR_SE,401,4,,,3967,63,,
2020-05-19,BR_SP,2929,324,,,65995,5147,,
2020-05-19,BR_TO,150,6,,,1646,38,,
2020-05-19,BS,0,0,,,96,11,,
2020-05-19,BT,0,0,,,21,0,,
2020-05-19,BW,0,0,,,25,1,,
2020-05-19,BY,936,4,,,31508,175,,387673
2020-05-19,BZ,0,0,,,18,2,,
2020-05-19,CA,1040,70,812,16524,79101,5912,40050,1339971
2020-05-19,CA_AB,33,0,65,2046,6716,128,5584,201283
2020-05-19,CA_BC,2,3,9,1746,2446,146,1975,106824
2020-05-19,CA_MB,0,0,0,394,279,7,257,34892
2020-05-19,CA_NB,0,0,0,193,120,0,120,19453
2020-05-19,CA_NL,0,0,1,71,260,3,250,10744
2020-05-19,CA_NS,1,1,10,188,1044,56,956,37594
2020-05-19,CA_NT,0,0,0,11,5,0,5,1890
2020-05-19,CA_NU,0,0,0,5,0,0,0,665
2020-05-19,CA_ON,427,15,260,5623,23384,1919,17898,541489
2020-05-19,CA_PE,0,0,0,0,27,0,27,4761
2020-05-19,CA_QC,570,51,452,5870,44197,3647,12497,341102
2020-05-19,CA_SK,7,0,15,367,599,6,470,38064
2020-05-19,CA_YT,0,0,0,10,11,0,11,1134
2020-05-19,CD,102,0,,,1731,61,,
2020-05-19,CF,75,0,,,411,0,,
2020-05-19,CG,8,0,,,420,15,,
2020-05-19,CH,21,11,,4778,30535,1613,,362937
2020-05-19,CH_AG,2,0,10,,1187,44,1085,
2020-05-19,CH_BE,2,0,,,1865,96,,
2020-05-19,CH_BL,0,0,2,,838,35,797,
2020-05-19,CH_BS,1,0,12,0,975,50,916,
2020-05-19,CH_FR,0,0,0,0,1147,84,144,
2020-05-19,CH_GE,2,0,4,460,5120,275,743,33180
2020-05-19,CH_GL,0,0,,,128,12,,
2020-05-19,CH_GR,0,0,,,824,48,,
2020-05-19,CH_JU,1,0,,,203,7,,
2020-05-19,CH_LU,1,0,,,727,20,,
2020-05-19,CH_NE,2,0,,,721,,,
2020-05-19,CH_NW,0,0,,,123,3,,
2020-05-19,CH_OW,1,0,0,0,80,0,,
2020-05-19,CH_SG,0,0,0,,806,36,,
2020-05-19,CH_SH,0,0,,,78,6,,
2020-05-19,CH_SO,2,0,,,434,16,,
2020-05-19,CH_SZ,0,0,0,0,307,23,281,
2020-05-19,CH_TG,0,0,,0,379,17,,
2020-05-19,CH_TI,0,1,3,,3285,344,877,
2020-05-19,CH_UR,0,0,0,0,93,7,79,
2020-05-19,CH_VD,4,0,,,5421,406,,
2020-05-19,CH_VS,1,0,,,1933,151,,
2020-05-19,CH_ZG,0,0,2,,199,8,171,
