date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-22,AE,-42.63,,-42.68,-59,-27,-81,-69,-33,21
2020-05-22,AF,,,,-9,40,-12,-22,9,8
2020-05-22,AG,,,,-35,-20,-18,-48,-37,22
2020-05-22,AL,-34.66,,-31.51,,,,,,
2020-05-22,AO,,,,-37,-19,-22,-49,-24,22
2020-05-22,AR,-52.48,,-68.01,-70,-22,-88,-55,-33,22
2020-05-22,AR_A,,,,-58,-19,-80,-22,-14,15
2020-05-22,AR_C,,,,-72,-23,-91,-53,-38,23
2020-05-22,AR_D,,,,-69,-24,-91,-74,-18,18
2020-05-22,AR_E,,,,-73,-29,-93,-71,-22,20
2020-05-22,AR_F,,,,-65,-9,-93,-54,-18,17
2020-05-22,AR_G,,,,-69,-20,-78,-68,-20,17
2020-05-22,AR_H,,,,-74,-27,-91,-75,-32,21
2020-05-22,AR_J,,,,-61,-5,-87,-69,-9,17
2020-05-22,AR_K,,,,-57,-2,-89,-34,-5,16
2020-05-22,AR_L,,,,-65,-11,-85,-36,-12,16
2020-05-22,AR_M,,,,-64,-19,-88,-37,-21,21
2020-05-22,AR_N,,,,-65,-31,-84,-79,-18,17
2020-05-22,AR_P,,,,-78,-25,-85,,-17,16
2020-05-22,AR_Q,,,,-65,-23,-85,-45,-27,24
2020-05-22,AR_R,,,,-73,-33,-86,-87,-28,23
2020-05-22,AR_S,,,,-68,-20,-93,-31,-24,20
2020-05-22,AR_T,,,,-63,-10,-72,-79,-19,16
2020-05-22,AR_U,,,,-62,-18,-84,-72,-21,19
2020-05-22,AR_V,,,,-68,-30,-80,-78,-27,23
2020-05-22,AR_W,,,,-72,-37,-88,-76,-23,19
2020-05-22,AR_X,,,,-71,-28,-89,-76,-31,22
2020-05-22,AR_Y,,,,-58,-18,-77,-64,-10,15
2020-05-22,AR_Z,,,,-62,-13,-79,-80,-17,19
2020-05-22,AT,-4.65,,-23.96,-20,2,28,-38,-44,10
2020-05-22,AT_11,22.38,,,-4,6,109,,-40,11
2020-05-22,AT_12,10.82,,,1,10,90,-45,-42,11
2020-05-22,AT_13,,,,-24,-2,31,-37,-46,11
2020-05-22,AT_21,17.22,,,-9,6,48,-32,-41,9
2020-05-22,AT_22,2.66,,,-12,4,46,-38,-43,10
2020-05-22,AT_31,7.41,,,-14,7,99,-32,-46,10
2020-05-22,AT_32,-29.53,,,-41,-10,-23,-50,-45,9
2020-05-22,AT_33,-43.1,,,-44,-13,-20,-48,-45,9
2020-05-22,AT_34,-15.35,,,-19,3,-19,-46,-47,11
2020-05-22,AU,-17.49,-63.44,-37.71,-25,5,-33,-49,-23,14
2020-05-22,AU_ACT,-9.06,,,-29,-2,-2,-46,-28,18
2020-05-22,AU_NSW,-10.64,,,-29,2,-41,-50,-27,16
2020-05-22,AU_NT,0.09,,,-1,30,5,-26,11,4
2020-05-22,AU_QLD,-18.17,,,-21,3,-23,-48,-17,11
2020-05-22,AU_SA,-18.92,,,-22,7,-43,-40,-11,10
2020-05-22,AU_TAS,-56.63,,,-32,-11,-49,-51,-17,13
2020-05-22,AU_VIC,-26.42,,,-30,1,-38,-60,-35,18
2020-05-22,AU_WA,-0.94,,,-15,9,-16,-42,-9,9
2020-05-22,AW,,,,-36,8,-19,-50,-47,21
