date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
2020-05-18,AD,3,2,1,0,1,1,0,2,2,2,0,0,2,3,0,0,0,56.34
2020-05-18,AE,3,2,,,,0,,,0,2,0,,,,,,,
2020-05-18,AF,3,3,2,4,2,2,2,1,0,0,0,0,2,1,1,0,0,76.33
2020-05-18,AL,,,,,,,,,,,,,,,,,,
2020-05-18,AO,,,,,,,,,,,,,,,,,,
2020-05-18,AR,,,,,,,,,,,,,,,,,,
2020-05-18,AT,1,2,2,3,0,0,1,2,2,2,0,0,2,2,2,0,0,58.33
2020-05-18,AU,2,1,2,4,0,1,2,4,1,2,0,,2,2,1,0,0,66.14
2020-05-18,AW,0,2,0,0,0,2,2,3,2,0,0,0,2,1,1,0,0,47.48
2020-05-18,AZ,3,2,2,4,0,3,2,4,2,0,0,0,2,2,1,0,0,86.24
2020-05-18,BA,3,2,2,4,1,2,2,4,2,1,0,0,2,2,0,0,0,81.22
2020-05-18,BB,,,,,,,,,,,,,,,,,,
2020-05-18,BD,,,,,,,,,,,,,,,,,,
2020-05-18,BE,2,1,2,3,1,1,2,2,2,2,0,0,2,1,1,0,0,75.26
2020-05-18,BF,,,,,,,,,0,0,0,0,2,1,2,0,0,
2020-05-18,BG,3,1,2,4,0,1,0,4,2,2,0,0,2,1,2,0,0,67.19
2020-05-18,BH,3,2,2,4,1,2,1,4,2,2,0,0,2,2,2,0,0,86.77
2020-05-18,BI,,,,,,,,4,,,,,,,,,,
2020-05-18,BJ,2,0,2,4,1,0,0,2,0,0,0,0,2,2,2,0,0,48.15
2020-05-18,BM,3,2,1,4,1,1,1,4,0,0,0,0,2,1,2,0,0,80.15
2020-05-18,BN,3,0,1,3,0,0,1,4,1,0,0,0,2,2,1,0,0,56.74
2020-05-18,BO,3,3,2,4,2,2,2,4,1,1,0,0,2,0,1,0,0,97.35
2020-05-18,BR,3,3,2,4,2,2,2,4,1,1,0,0,2,1,0,0,0,75.15
2020-05-18,BT,,,1,,,0,,,,,,,,,,,,
2020-05-18,BW,3,,,,1,,2,,,,,,,,,,,
2020-05-18,BY,0,0,0,0,0,0,0,3,1,0,,,1,3,2,,,15.47
2020-05-18,BZ,3,3,2,4,1,2,2,4,1,0,0,0,2,1,2,0,0,87.04
2020-05-18,CA,3,3,2,4,0,1,2,4,2,1,0,0,2,3,1,0,0,67.74
2020-05-18,CD,3,2,2,3,2,2,2,4,0,2,0,0,2,1,1,0,0,80.04
2020-05-18,CF,3,2,2,3,0,0,2,4,0,0,0,0,2,1,1,0,0,69.97
2020-05-18,CG,3,3,2,3,2,3,2,4,1,2,0,0,2,1,1,0,0,98.02
2020-05-18,CH,2,2,2,4,0,1,1,3,2,1,0,0,2,1,1,0,0,71.55
2020-05-18,CI,0,0,0,2,0,1,1,4,0,1,0,0,2,2,1,0,0,42.32
2020-05-18,CL,,,,,,,,,,1,0,0,2,2,2,0,0,
2020-05-18,CM,3,0,2,3,1,0,1,4,0,0,0,0,2,2,0,0,0,67.85
2020-05-18,CN,3,3,2,4,2,3,2,3,0,0,0,281340028,2,3,2,0,0,75.02
2020-05-18,CO,3,2,2,4,1,2,2,,,,,,,,,,,
2020-05-18,CR,3,2,1,3,0,1,2,4,1,1,0,0,2,1,1,0,0,74.99
2020-05-18,CU,3,3,2,4,2,3,2,4,0,2,0,0,2,1,2,0,0,100
2020-05-18,CV,3,,,,,,,,,,,,2,2,2,0,0,
2020-05-18,CY,,,,,,,,,,,,,,,,,,
2020-05-18,CZ,,,,,,,,,,,,,,,,,,
2020-05-18,DE,2,2,2,4,0,2,2,4,2,2,0,0,2,1,1,0,0,71.44
2020-05-18,DJ,3,0,2,4,0,1,0,4,1,0,0,0,2,3,2,0,0,61.37
2020-05-18,DK,2,2,1,3,1,1,1,4,2,2,0,0,2,3,2,0,0,75.52
2020-05-18,DM,3,2,2,4,0,1,2,4,0,0,0,0,2,3,2,0,0,80.95
2020-05-18,DO,,,,,,,,,,,,,,,,,,
2020-05-18,DZ,3,2,2,4,2,2,2,3,0,1,0,0,2,0,0,0,0,82.42
2020-05-18,EC,3,3,2,3,2,2,2,4,1,2,0,0,2,3,1,0,0,85.85
2020-05-18,EE,,,,,,,,,,,,,,,,,,
2020-05-18,EG,,,,,,,,,,,,,,,,,,
2020-05-18,ES,3,3,2,4,1,2,1,4,2,2,0,0,2,2,1,0,0,79.9
2020-05-18,ET,3,2,2,4,1,1,2,2,0,0,0,0,2,1,2,0,0,76.19
2020-05-18,FI,1,2,2,3,1,1,1,3,1,0,0,0,2,1,1,0,0,67.72
2020-05-18,FR,2,2,2,3,1,1,2,4,2,2,0,0,2,2,,0,0,83.46
2020-05-18,GA,3,2,2,4,1,3,2,4,0,2,0,0,1,3,2,0,0,86.24
2020-05-18,GB,3,2,2,4,1,1,1,0,2,2,0,0,2,1,0,0,0,73.01
2020-05-18,GE,,,,,,,,,,,,,,,,,,
2020-05-18,GH,,,,,,,,,,,,,,,,,,
2020-05-18,GL,,2,2,2,2,1,1,4,0,0,0,0,2,3,2,0,0,73.01
2020-05-18,GM,,,,,,,,,,,,,,,,,,
2020-05-18,GR,2,1,2,3,1,2,2,3,1,1,0,0,2,2,0,0,0,74.34
2020-05-18,GT,3,3,2,4,2,2,2,4,1,2,0,0,2,2,2,0,0,97.35
2020-05-18,GU,3,3,2,4,1,1,0,3,1,0,0,0,2,2,1,0,0,76.85
2020-05-18,GY,,3,2,4,1,2,2,4,0,1,0,0,2,1,2,,,82.27
2020-05-18,HK,3,2,2,3,0,1,0,4,2,2,0,0,2,2,2,0,0,67.85
2020-05-18,HN,,,,,,,,,2,2,0,0,2,,,,,
2020-05-18,HR,2,1,2,3,1,1,2,0,2,2,0,0,2,2,2,0,0,66.53
2020-05-18,HU,,,,,,,,,,,,,,,,,,
2020-05-18,ID,3,2,2,4,1,2,1,4,0,0,0,0,2,1,2,0,0,70.91
2020-05-18,IE,,3,2,4,2,2,1,,,,,,,,,,,
2020-05-18,IL,2,,,,,,,,,,,,,,,,,
2020-05-18,IN,3,2,2,4,2,2,2,3,1,2,0,0,2,3,2,0,0,76.07
2020-05-18,IQ,,,,,,,,,,,,,2,2,,,,
2020-05-18,IR,,,,,,,,,,,,,,,,,,
2020-05-18,IS,2,2,2,3,0,0,0,3,2,2,0,0,2,3,2,0,0,56.61
2020-05-18,IT,3,2,2,0,0,1,2,3,1,1,0,0,2,2,2,0,0,67.06
2020-05-18,JM,3,1,2,4,1,2,,3,1,1,0,0,2,1,1,0,0,74.2
