key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
AD,2020-05-27,0,0,,,763,51,,
AE,2020-05-27,883,2,,,31969,255,,
AF,2020-05-27,625,7,,,12456,227,,
AG,2020-05-27,0,0,,,25,3,,
AI,2020-05-27,0,0,,,3,0,,
AL,2020-05-27,21,0,,,1050,33,,
AM,2020-05-27,372,7,,,7774,98,,
AO,2020-05-27,0,0,,,71,4,,
AR,2020-05-27,705,16,,3556,13920,500,,140218
AR_A,2020-05-27,0,,,,7,,,
AR_B,2020-05-27,315,9,,,4770,212,,
AR_C,2020-05-27,462,7,,,7936,211,,
AR_D,2020-05-27,0,,,,10,,,
AR_E,2020-05-27,0,,,,29,,,
AR_F,2020-05-27,0,0,,,63,7,,
AR_G,2020-05-27,0,,,,21,,,
AR_H,2020-05-27,31,2,,,819,47,,
AR_J,2020-05-27,1,,,,5,,,
AR_L,2020-05-27,0,,,,5,,,
AR_M,2020-05-27,0,0,,,83,9,,
AR_N,2020-05-27,0,0,,,25,1,,
AR_Q,2020-05-27,2,0,,,125,5,,
AR_R,2020-05-27,8,0,,,368,18,,
AR_S,2020-05-27,-1,0,,,260,3,,
AR_T,2020-05-27,0,0,,,47,4,,
AR_U,2020-05-27,0,,,,5,,,
AR_V,2020-05-27,0,,,,136,,,
AR_W,2020-05-27,0,,,,80,,,
AR_X,2020-05-27,0,1,,,464,30,,
AR_Y,2020-05-27,1,,,,7,,,
AR_Z,2020-05-27,0,,,,49,,,
AT,2020-05-27,18,2,,7521,16515,645,,418706
AT_11,2020-05-28,1,0,,387,341,11,,12623
AT_12,2020-05-28,1,0,,2112,2861,100,,64267
AT_13,2020-05-28,27,23,,1644,3147,172,,99988
AT_21,2020-05-28,0,0,,371,414,13,,16295
AT_22,2020-05-28,0,0,,1060,1835,147,,48843
AT_31,2020-05-28,0,0,,1278,2292,60,,60447
AT_32,2020-05-28,1,0,,393,1220,38,,32726
AT_33,2020-05-28,0,0,,1039,3536,108,,71706
AT_34,2020-05-28,0,0,,382,898,19,,20477
AU,2020-05-27,6,1,,50098,7139,103,,1338321
AU_ACT,2020-05-28,0,0,0,494,107,3,104,17069
AU_NSW,2020-05-28,1,0,7,9872,3090,48,2670,474223
AU_NT,2020-05-28,0,0,0,170,29,0,30,7698
AU_QLD,2020-05-28,0,0,1,3668,1058,7,1045,184039
AU_SA,2020-05-28,0,0,0,2051,440,4,435,95457
AU_TAS,2020-05-28,0,0,0,948,228,13,203,26592
AU_VIC,2020-05-28,10,0,5,9861,1628,19,1544,480693
AU_WA,2020-05-28,0,0,1,3152,570,9,550,83318
AW,2020-05-27,0,0,,,101,3,,
AZ,2020-05-27,165,2,,,4568,54,,
BA,2020-05-27,19,2,,,2435,151,,
BB,2020-05-27,0,0,,,92,7,,
BD,2020-05-27,1541,22,,8015,38292,544,,266456
BE,2020-05-27,137,30,,5710,57592,9364,,648476
BF,2020-05-27,0,0,,,845,53,,
BG,2020-05-27,0,0,,1557,2460,133,,76391
BH,2020-05-27,267,1,,4904,9633,15,,291127
BI,2020-05-27,0,0,,,42,1,,
BJ,2020-05-27,2,0,,,210,3,,
BM,2020-05-27,0,0,,,139,9,,
BN,2020-05-27,0,1,,,141,2,,
BO,2020-05-27,632,6,,476,7768,280,,13222
BO_B,2020-05-26,100,5,,,1242,77,,
BO_C,2020-05-26,6,0,,,345,18,,
BO_H,2020-05-25,1,0,,,22,2,,
BO_L,2020-05-26,7,0,,,410,24,,
BO_N,2020-05-24,1,0,,,13,1,,
BO_O,2020-05-26,2,0,,,154,13,,
BO_P,2020-05-25,2,0,,,44,1,,
BO_S,2020-05-26,361,7,,,4888,135,,
BO_T,2020-05-26,0,1,,,19,3,,
BQ,2020-05-27,0,0,,,7,0,,
BR,2020-05-27,20599,1086,,,411821,25598,,132467
BR_AC,2020-05-27,470,8,,,5251,113,,
BR_AL,2020-05-27,522,14,,,7580,368,,
BR_AM,2020-05-27,1559,39,,,33508,1891,,
BR_AP,2020-05-27,652,10,,,7619,183,,
BR_BA,2020-05-27,504,36,,,15070,531,,
BR_CE,2020-05-27,254,68,,,37275,2671,,
BR_DF,2020-05-27,551,9,,,7761,133,,
BR_ES,2020-05-27,595,24,,,11484,511,,
BR_GO,2020-05-27,172,4,,,2843,108,,
BR_MA,2020-05-27,1867,36,,,26145,853,,
BR_MG,2020-05-27,495,6,,,8011,240,,
BR_MS,2020-05-27,86,1,,,1186,18,,
BR_MT,2020-05-27,211,3,,,1839,46,,
BR_PA,2020-05-27,2433,76,,,31033,2545,,
BR_PB,2020-05-27,1290,12,,,10209,298,,
BR_PE,2020-05-27,1065,140,,,29919,2468,,
BR_PI,2020-05-27,246,15,,,3966,134,,
BR_PR,2020-05-27,200,3,,,3712,162,,
BR_RJ,2020-05-27,2374,244,,,42398,4605,,
BR_RN,2020-05-27,158,22,,,5630,242,,
BR_RO,2020-05-27,369,4,,,3862,137,,
BR_RR,2020-05-27,99,0,,,2682,102,,
BR_RS,2020-05-27,263,6,,,7048,209,,
BR_SC,2020-05-27,356,5,,,7372,126,,
BR_SE,2020-05-27,177,11,,,5912,127,,
BR_SP,2020-05-27,3466,289,,,89483,6712,,
BR_TO,2020-05-27,165,1,,,3023,65,,
BS,2020-05-27,0,0,,,100,11,,
BT,2020-05-27,1,0,,,28,0,,
BW,2020-05-27,0,0,,,35,1,,
BY,2020-05-27,897,6,,9902,38956,214,,472906
BZ,2020-05-27,0,0,,,18,2,,
CA,2020-05-28,383,34,301,28349,87891,6799,46478,1559280
CA_AB,2020-05-28,0,0,0,0,6926,141,6106,223771
CA_BC,2020-05-28,0,0,0,1415,2550,162,2144,118177
CA_MB,2020-05-28,0,0,0,919,281,7,271,40709
CA_NB,2020-05-28,0,0,0,336,123,0,120,21980
CA_NL,2020-05-28,0,0,0,201,260,3,255,11769
CA_NS,2020-05-28,0,0,0,708,1053,59,975,41783
CA_NT,2020-05-28,0,0,0,0,5,0,5,1973
CA_NU,2020-05-28,0,0,0,15,0,0,0,741
CA_ON,2020-05-28,383,34,301,17039,26866,2189,20673,640509
CA_PE,2020-05-28,0,0,0,0,27,0,27,5889
CA_QC,2020-05-28,0,0,0,0,49139,4228,15319,402059
CA_SK,2020-05-28,0,0,0,636,637,10,559,41605
CA_YT,2020-05-28,0,0,0,4,11,0,11,1163
CD,2020-05-27,114,1,,,2659,68,,
CF,2020-05-27,31,0,,,702,1,,
CG,2020-05-27,2,0,,,571,19,,
CH,2020-05-28,6,0,,4083,3611,130,,380664
CH_AG,2020-05-28,0,1,10,,1201,46,1120,
CH_AI,2020-05-27,0,0,,,25,0,,
CH_AR,2020-05-28,0,0,,,99,3,,
CH_BE,2020-05-28,2,0,,,1883,96,,
CH_BL,2020-05-28,2,0,0,,840,35,802,
CH_BS,2020-05-28,0,0,0,0,976,50,923,235
CH_FR,2020-05-27,1,0,0,0,1157,84,148,30
CH_GE,2020-05-28,0,0,4,0,5142,280,792,35693
CH_GL,2020-05-28,0,0,,,128,12,,
CH_GR,2020-05-27,0,0,,,827,48,,
CH_JU,2020-05-25,0,0,,,204,7,,
CH_LU,2020-05-27,1,0,,,735,20,,
CH_NE,2020-05-26,1,0,,,725,83,,
CH_NW,2020-05-28,0,0,,,123,3,,
CH_OW,2020-05-28,0,0,0,0,82,0,1,6
CH_SG,2020-05-28,0,0,0,,808,37,217,
CH_SH,2020-05-28,0,0,,,78,6,,
CH_SO,2020-05-28,1,0,,,440,17,,
CH_SZ,2020-05-28,0,0,0,0,307,23,284,10
CH_TG,2020-05-28,0,0,,0,380,18,,276
CH_TI,2020-05-28,2,0,2,,3310,348,891,
CH_UR,2020-05-28,0,0,0,0,93,7,86,85
CH_VD,2020-05-27,1,0,,,5440,406,,
CH_VS,2020-05-28,1,0,,,1942,151,,
CH_ZG,2020-05-28,0,0,1,,202,9,180,
CI,2020-05-27,79,1,,,2556,31,,
CL,2020-05-27,4328,35,,13398,82289,841,,514523
CL_AI,2020-05-28,2,,,,14,,,
CL_AN,2020-05-28,114,,,,2200,,,
CL_AP,2020-05-28,21,,,,550,,,
CL_AR,2020-05-28,38,,,,1966,,,
CL_AT,2020-05-28,5,,,,193,,,
CL_BI,2020-05-28,112,,,,1624,,,
CL_CO,2020-05-28,27,,,,413,,,
CL_LI,2020-05-28,14,,,,681,,,
CL_LL,2020-05-28,23,,,,817,,,
CL_LR,2020-05-28,9,,,,319,,,
CL_MA,2020-05-28,3,,,,1052,,,
CL_ML,2020-05-28,54,,,,1082,,,
CL_NB,2020-05-28,31,,,,1200,,,
CL_RM,2020-05-28,3947,,,,66799,,,
CL_TA,2020-05-28,147,,,,1892,,,
CL_VS,2020-05-28,156,,,,2668,,,
CM,2020-05-27,74,2,,,5436,177,,
CN,2020-05-29,0,0,1,,84547,4645,79791,
CN_AH,2020-04-25,0,0,1,,991,6,985,
CN_BJ,2020-05-24,0,0,2,,593,9,581,
CN_CQ,2020-04-24,0,0,3,,579,6,573,
CN_FJ,2020-05-28,1,0,0,,358,1,355,
CN_GD,2020-05-28,0,0,1,,1592,8,1582,
CN_GS,2020-04-17,0,0,1,,139,2,137,
CN_GX,2020-04-02,0,0,2,,254,2,252,
CN_GZ,2020-04-19,1,0,1,,147,2,145,
CN_HA,2020-04-14,0,0,1,,1276,22,1254,
CN_HB,2020-05-27,0,0,1,,68135,4512,63618,
CN_HE,2020-05-18,0,0,1,,328,6,322,
CN_HI,2020-05-16,1,0,0,,169,6,162,
CN_HK,2020-05-29,0,0,1,,1066,4,1035,
CN_HL,2020-05-17,0,0,1,,945,13,932,
CN_HN,2020-04-18,0,0,1,,1019,4,1015,
CN_JL,2020-05-28,0,0,8,,155,2,136,
CN_JS,2020-05-11,0,0,1,,653,0,653,
CN_JX,2020-04-10,0,0,1,,937,1,936,
CN_LN,2020-05-26,0,0,2,,149,2,147,
