key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
AE,2020-05-13,-51,-21,-66,-61,-43,28
AF,2020-05-13,-38,-12,-19,-44,-30,13
AG,2020-05-13,-42,-29,-28,-63,-46,26
AO,2020-05-13,-34,-20,-25,-51,-28,20
AR,2020-05-13,-70,-22,-87,-52,-35,19
AR_B,2020-05-13,-72,-24,-89,-48,-40,19
AR_L,2020-05-13,-68,-25,-84,-37,-20,15
AR_R,2020-05-13,-76,-39,-86,-87,-34,22
AR_T,2020-05-13,-62,-7,-76,-74,-24,13
AR_W,2020-05-13,-62,-17,-80,-66,-15,12
AR_Y,2020-05-13,-56,-13,-79,-60,-11,13
AT,2020-05-13,-41,-10,-13,-43,-35,13
AU,2020-05-13,-31,-5,-28,-52,-27,15
AU_ACT,2020-05-13,-37,-3,-4,-51,-37,19
AU_NSW,2020-05-13,-34,-4,-28,-52,-31,16
AU_NT,2020-05-13,-15,9,-3,-28,8,6
AU_QLD,2020-05-13,-27,-3,-19,-48,-22,12
AU_SA,2020-05-13,-25,1,-25,-40,-14,11
AU_TAS,2020-05-13,-39,-14,-59,-53,-21,14
AU_VIC,2020-05-13,-37,-9,-40,-64,-37,19
AU_WA,2020-05-13,-23,2,-19,-44,-14,11
AW,2020-05-13,-51,-22,-34,-54,-43,24
BA,2020-05-13,-26,-6,22,-30,-24,7
BB,2020-05-13,-55,-34,-42,-62,-52,24
BD,2020-05-13,-59,-39,-31,-56,-40,20
BE,2020-05-13,-44,-15,-7,-50,-46,18
BF,2020-05-13,-17,-8,-6,-25,-5,10
BG,2020-05-13,-21,-5,27,-33,-30,8
BH,2020-05-13,-39,-16,-37,-33,-24,19
BJ,2020-05-13,-13,1,8,-17,-7,5
BO,2020-05-13,-74,-59,-65,-72,-62,33
BR,2020-05-13,-51,-14,-46,-49,-31,17
BS,2020-05-13,-43,-15,-29,-77,-45,24
BW,2020-05-13,-43,-34,-21,-66,-48,31
BY,2020-05-13,-15,0,3,-18,-17,6
BZ,2020-05-13,-41,-27,-38,-55,-42,18
CA,2020-05-13,-38,-9,46,-58,-51,19
CA_AB,2020-05-13,-31,3,57,-58,-46,17
CA_BC,2020-05-13,-40,-6,54,-55,-49,18
CA_MB,2020-05-13,-29,-4,-20,-57,-41,17
CA_NB,2020-05-13,-19,-7,59,-33,-45,15
CA_NL,2020-05-13,-28,-11,42,-57,-50,15
CA_NS,2020-05-13,-36,-17,37,-60,-54,19
CA_NT,2020-05-13,-53,-41,,-31,-40,
CA_NU,2020-05-13,-36,,,,-22,
CA_ON,2020-05-13,-42,-12,35,-60,-56,22
CA_PE,2020-05-13,-31,-5,-37,,-44,14
CA_QC,2020-05-13,-39,-13,60,-60,-50,20
CA_SK,2020-05-13,-27,4,75,-44,-40,14
CA_YT,2020-05-13,-45,-26,,,-33,
CH,2020-05-13,-39,-5,-31,-38,-28,14
CH_AG,2020-05-13,-26,5,-11,-25,-23,12
CH_AI,2020-05-13,-80,,,,-12,
CH_AR,2020-05-13,-62,12,,-32,-16,
CH_BL,2020-05-13,-28,1,-18,-29,-25,13
CH_FR,2020-05-13,-37,-3,-26,-43,-29,14
CH_GE,2020-05-13,-51,-18,-46,-57,-44,20
CH_GL,2020-05-13,-87,-6,,-2,-13,
CH_GR,2020-05-13,-55,-17,-46,-52,-24,10
CH_JU,2020-05-13,-37,-6,,-32,-25,13
CH_LU,2020-05-13,-31,-3,-28,-33,-21,12
CH_NE,2020-05-13,-39,-15,-2,-35,-35,15
CH_NW,2020-05-13,-62,0,-21,-38,-20,
CH_OW,2020-05-13,-83,-4,-49,-41,-15,
CH_SG,2020-05-13,-28,8,15,-25,-18,10
CH_SH,2020-05-13,-42,21,,-30,-21,2
CH_SO,2020-05-13,-34,6,-34,-34,-20,12
CH_SZ,2020-05-13,-18,4,46,-25,-20,11
CH_TG,2020-05-13,-31,4,-4,-30,-17,10
CH_TI,2020-05-13,-47,-15,-38,-45,-31,16
CH_UR,2020-05-13,-74,0,,-40,-15,
CH_VD,2020-05-13,-41,-13,-42,-44,-36,17
CH_VS,2020-05-13,-41,-11,-39,-40,-27,11
CI,2020-05-13,-18,-5,-14,-23,-15,13
CL,2020-05-13,-60,-35,-60,-61,-44,25
CL_AI,2020-05-13,-54,-29,-57,-71,-18,17
CL_AN,2020-05-13,-65,-53,-66,-61,-42,24
CL_AP,2020-05-13,-71,-50,-75,-66,-45,24
CL_AT,2020-05-13,-49,-30,-53,-60,-24,19
CL_CO,2020-05-13,-61,-41,-73,-58,-32,19
CL_LI,2020-05-13,-45,-28,-48,-42,-24,19
CL_LL,2020-05-13,-56,-42,-60,-56,-27,19
CL_LR,2020-05-13,-63,-44,-70,-63,-32,21
CL_ML,2020-05-13,-48,-33,-47,-42,-22,19
CL_NB,2020-05-13,-48,-39,-41,-71,-50,16
CL_TA,2020-05-13,-56,-25,-62,-31,-30,19
CL_VS,2020-05-13,-58,-40,-65,-52,-35,21
CM,2020-05-13,-16,-11,-20,-14,-13,10
CO,2020-05-13,-64,-41,-53,-62,-51,26
CO_AMA,2020-05-13,-87,-46,-68,,-42,
CO_ANT,2020-05-13,-64,-43,-51,-64,-49,25
CO_ARA,2020-05-13,-69,-27,-47,-48,-28,12
CO_CAL,2020-05-13,-65,-45,-54,-79,-49,24
CO_CAS,2020-05-13,-61,-41,-44,-57,-34,24
CO_CAU,2020-05-13,-62,-42,-51,-45,-43,21
CO_CES,2020-05-13,-60,-42,-47,-72,-38,19
CO_CUN,2020-05-13,-59,-39,-50,-54,-43,28
CO_GUV,2020-05-13,-84,-86,-44,,-30,
CO_HUI,2020-05-13,-63,-46,-59,,-44,22
CO_LAG,2020-05-13,-62,-41,-52,-63,-40,20
CO_MAG,2020-05-13,-66,-49,-67,-80,-46,20
CO_MET,2020-05-13,-65,-47,-49,-53,-42,26
CO_PUT,2020-05-13,-60,-50,-44,-65,-33,20
CO_RIS,2020-05-13,-64,-38,-61,-78,-50,24
CO_SAN,2020-05-13,-64,-40,-53,-59,-48,24
CO_SUC,2020-05-13,-57,-33,-43,-83,-36,18
CO_TOL,2020-05-13,-64,-43,-50,-78,-47,24
CO_VAC,2020-05-13,-61,-41,-54,-56,-46,23
CO_VID,2020-05-13,-67,,-26,,1,
CR,2020-05-13,-39,-23,-43,-45,-32,17
CV,2020-05-13,-51,-37,-44,-69,-52,21
CZ,2020-05-13,-32,7,-10,-25,-24,10
DE,2020-05-13,-31,-7,13,-36,-26,11
DE_BB,2020-05-13,-22,0,20,-24,-19,8
DE_BE,2020-05-13,-42,-4,9,-38,-35,13
DE_BW,2020-05-13,-39,-12,-18,-42,-28,13
DE_BY,2020-05-13,-37,-8,-18,-42,-28,12
DE_HB,2020-05-13,-38,-6,0,-43,-31,11
DE_HE,2020-05-13,-33,-8,28,-50,-30,12
DE_HH,2020-05-13,-43,-5,5,-45,-37,15
DE_MV,2020-05-13,-26,-4,-12,-28,-19,8
DE_NI,2020-05-13,-26,-7,32,-31,-27,10
DE_NW,2020-05-13,-25,-5,33,-36,-27,11
DE_RP,2020-05-13,-24,-6,21,-40,-25,10
DE_SH,2020-05-13,-31,-5,6,-32,-27,11
DE_SL,2020-05-13,-32,-10,-3,-44,-26,11
DE_SN,2020-05-13,-26,-2,42,-23,-19,7
DE_ST,2020-05-13,-24,-4,27,-22,-15,6
DE_TH,2020-05-13,-23,-5,34,-17,-18,7
DK,2020-05-13,-20,1,82,-33,-30,11
DO,2020-05-13,-62,-43,-52,-75,-58,27
EC,2020-05-13,-65,-47,-60,-68,-65,31
EE,2020-05-13,-21,-5,8,-30,-39,13
EG,2020-05-13,-51,-3,-40,-44,-26,14
ES,2020-05-13,-69,-26,-27,-58,-53,21
ES_AN,2020-05-13,-68,-31,-44,-62,-50,19
