key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
AU,2020-05-19,,,47,,,11,,,7
CH,2020-05-21,0,3788,,,,,,,
CH_AG,2020-05-20,1,11,,-2,2,,0,2,
CH_AI,2020-05-20,0,1,,,,,,,
CH_AR,2020-05-20,0,1,,0,1,,,,
CH_BE,2020-05-21,0,24,,0,3,,0,3,
CH_BL,2020-05-21,0,3,,0,0,,0,0,
CH_BS,2020-05-20,0,12,,0,3,,,,
CH_FR,2020-05-20,-3,12,,0,4,,,,
CH_GE,2020-05-21,-12,154,,-1,2,,0,0,
CH_GL,2020-05-20,0,2,,,,,,,
CH_GR,2020-05-19,0,4,,,,,,,
CH_JU,2020-05-20,0,3,,0,2,,,,
CH_LU,2020-05-20,-4,19,,-1,3,,,,
CH_NE,2020-05-20,0,11,,0,2,,0,1,
CH_NW,2020-05-20,0,0,,0,0,,,,
CH_OW,2020-05-20,0,0,,,,,,,
CH_SG,2020-05-20,3,11,,0,1,,,,
CH_SH,2020-05-20,-1,7,,-1,1,,,,
CH_SO,2020-05-21,0,6,,,,,,,
CH_SZ,2020-05-21,0,1,,,,,,,
CH_TG,2020-05-20,0,7,,0,4,,,,
CH_TI,2020-05-20,-1,53,,-1,4,,0,4,
CH_UR,2020-05-21,0,0,,,,,,,
CH_VD,2020-05-18,-5,55,,0,13,,,,
CH_VS,2020-05-20,0,28,,0,6,,0,4,
CH_ZG,2020-05-19,0,0,,0,0,,,,
CH_ZH,2020-05-20,-1,29,,,,,-2,4,
CO,2020-05-20,,,,,,176,,,
CZ,2020-05-18,,,169,,,36,,,
DK,2020-05-19,,,141,,,25,,,18
ES_AN,2020-12-05,,6114,,,750,,,,
ES_AR,2020-12-05,,2614,,,265,,,,
ES_AS,2020-12-05,,2239,,,151,,,,
ES_CB,2020-12-05,,1029,,,79,,,,
ES_CE,2020-12-05,,11,,,4,,,,
ES_CN,2020-12-05,,937,,,178,,,,
ES_EX,2020-12-05,,1754,,,109,,,,
ES_GA,2020-12-05,,2909,,,327,,,,
ES_IB,2020-12-05,,1131,,,171,,,,
ES_MC,2020-12-05,,666,,,112,,,,
ES_ML,2020-12-05,,44,,,3,,,,
ES_NC,2020-12-05,,2042,,,135,,,,
ES_PV,2020-12-05,,6955,,,575,,,,
ES_RI,2020-12-05,,1481,,,91,,,,
FR,2020-05-20,432,105612,,,,,,,
FR_ARA_01,2020-05-20,2,602,,,,,,,
FR_ARA_03,2020-05-20,4,227,,,,,,,
FR_ARA_07,2020-05-20,5,638,,,,,,,
FR_ARA_15,2020-05-20,0,70,,,,,,,
