key,date,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
AE,2020-05-24,-43.36,,-39.64,-51,-21,-68,-61,-29,21
AF,2020-05-16,,,,-28,-1,-12,-34,-23,12
AG,2020-05-16,,,,-39,-23,-18,-52,-38,26
AL,2020-05-24,-46.61,,-57.44,,,,,,
AO,2020-05-16,,,,-35,-16,-15,-40,-4,17
AR,2020-05-24,-76.19,,-83.17,-72,-19,-89,-51,-27,20
AR_A,2020-05-16,,,,-61,-12,-82,-16,-11,14
AR_C,2020-05-16,,,,-74,-22,-91,-50,-33,21
AR_D,2020-05-16,,,,-72,-17,-89,-77,-17,15
AR_E,2020-05-16,,,,-71,-16,-91,-70,-14,16
AR_F,2020-05-16,,,,-63,-7,-93,-67,-13,16
AR_G,2020-05-16,,,,-72,-19,-82,-75,-19,16
AR_H,2020-05-16,,,,-70,-12,-89,-74,-18,16
AR_J,2020-05-16,,,,-63,-2,-87,-73,-9,15
AR_K,2020-05-16,,,,-55,6,-87,-48,0,14
AR_L,2020-05-16,,,,-65,-6,-81,-40,-12,15
AR_M,2020-05-16,,,,-66,-19,-87,-36,-18,20
AR_N,2020-05-16,,,,-65,-20,-81,-81,-14,16
AR_P,2020-05-16,,,,-76,-14,-79,-3,-8,13
AR_Q,2020-05-16,,,,-71,-20,-90,-38,-24,22
AR_R,2020-05-16,,,,-78,-36,-90,-90,-29,23
AR_S,2020-05-16,,,,-68,-14,-92,-23,-19,19
AR_T,2020-05-16,,,,-65,-7,-80,-79,-13,15
AR_U,2020-05-16,,,,-69,-22,-90,-78,-23,21
AR_V,2020-05-16,,,,-67,-24,-82,-84,-30,20
AR_W,2020-05-16,,,,-65,-17,-85,-71,-12,14
AR_X,2020-05-16,,,,-71,-24,-90,-74,-24,20
AR_Y,2020-05-16,,,,-56,-3,-76,-62,-5,13
AR_Z,2020-05-16,,,,-66,-17,-85,-82,-19,17
AT,2020-05-24,-13.87,,-47.08,-32,-13,5,-35,-12,5
AT_11,2020-05-24,16.43,,,-33,-20,97,-33,-5,6
AT_12,2020-05-24,0.8,,,-18,-8,82,-40,-3,4
AT_13,2020-05-16,,,,-32,-7,27,-27,-11,4
AT_21,2020-05-24,7.57,,,-29,-9,-29,-37,-12,6
AT_22,2020-05-24,-2.01,,,-28,-13,6,-34,-10,5
AT_31,2020-05-24,-4.9,,,-28,-9,70,-26,-5,4
AT_32,2020-05-24,-34.02,,,-49,-19,-39,-62,-26,5
AT_33,2020-05-24,-41.21,,,-53,-28,-60,-64,-33,8
AT_34,2020-05-24,-14.91,,,-35,-13,-38,-50,-21,6
AU,2020-05-24,-25.88,-63.91,-47.26,-26,3,-14,-41,-22,9
AU_ACT,2020-05-24,-14.63,,,-24,4,50,-37,-18,8
AU_NSW,2020-05-24,-21.65,,,-28,4,-27,-38,-23,9
AU_NT,2020-05-24,-13.97,,,-5,16,29,-26,-11,4
AU_QLD,2020-05-24,-23.02,,,-21,5,-10,-43,-20,8
AU_SA,2020-05-24,-26.32,,,-19,7,-7,-32,-19,8
AU_TAS,2020-05-24,-60.02,,,-34,-18,-55,-56,-24,12
AU_VIC,2020-05-24,-26.3,,,-32,-1,-11,-47,-25,11
AU_WA,2020-05-24,-35.42,,,-20,8,-19,-41,-16,8
AW,2020-05-16,,,,-54,-15,-28,-64,-42,19
BA,2020-05-16,,,,-26,-5,23,-22,-12,3
BB,2020-05-16,,,,-59,-37,-43,-67,-43,18
BD,2020-05-16,,,,-55,-32,-28,-51,-27,18
BE,2020-05-24,-19.94,-52.64,-26.65,-54,-14,-6,-36,-18,13
BF,2020-05-16,,,,-17,-8,-5,-27,9,8
BG,2020-05-24,-19.21,,-44.01,-26,-7,26,-24,-9,-1
BH,2020-05-16,,,,-41,-18,-38,-34,-17,17
BJ,2020-05-16,,,,-11,5,9,-5,8,4
BO,2020-05-16,,,,-89,-89,-85,-88,-73,38
BR,2020-05-24,-53.91,-81.67,-68.56,-55,-8,-56,-46,-21,15
BR_AC,2020-05-16,,,,-60,-9,-48,-69,-20,13
BR_AL,2020-05-24,-61.59,,,-62,-19,-64,-62,-26,14
BR_AM,2020-05-24,-16.85,,,-55,-6,-54,-33,-26,14
BR_AP,2020-05-16,,,,-66,-17,-57,-77,-38,19
BR_BA,2020-05-24,-57.87,,,-59,-15,-58,-58,-23,16
BR_CE,2020-05-24,-62.04,,,-76,-29,-71,-68,-39,20
BR_DF,2020-05-24,-36.46,,,-56,-1,-66,-33,-21,16
BR_ES,2020-05-24,-52.27,,,-58,-14,-72,-54,-20,15
BR_GO,2020-05-24,-36.29,,,-44,2,-30,-26,-11,12
BR_MA,2020-05-24,-42.09,,,-66,-16,-54,-69,-29,18
BR_MG,2020-05-24,-48.92,,,-51,-1,-36,-39,-15,13
BR_MS,2020-05-24,-47.48,,,-28,4,-29,-31,-4,9
