key,date,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
AD,2020-05-21,3,2,1,0,1,1,0,2,2,2,0,0,2,3,0,0,0,56.34
AE,2020-05-21,3,2,2,4,1,0,1,4,0,2,0,0,2,3,2,0,0,77.78
AF,2020-05-21,3,3,2,4,2,2,2,1,0,0,0,0,2,1,1,0,0,76.33
AL,2020-05-10,3,2,2,4,2,2,2,4,2,1,0,0,2,2,1,0,0,88.36
AO,2020-05-16,3,2,2,3,1,2,2,4,0,2,0,0,1,2,0,0,0,81.61
AR,2020-05-13,3,2,2,4,2,2,2,4,1,2,0,0,2,1,2,0,0,91.54
AT,2020-05-21,1,2,2,2,0,0,1,2,2,2,0,0,2,2,2,0,0,56.34
AU,2020-05-15,2,1,2,4,0,1,2,4,1,2,0,,2,2,1,0,0,64.02
AW,2020-05-21,3,2,2,4,2,2,2,3,0,2,0,0,2,1,0,0,0,91.93
AZ,2020-05-21,3,3,2,4,0,2,2,4,2,0,0,0,2,2,1,0,0,86.24
BA,2020-05-18,3,2,2,4,1,2,2,4,2,1,0,0,2,2,0,0,0,81.22
BB,2020-05-17,3,1,2,4,1,2,2,2,1,1,0,0,2,2,2,0,0,82.53
BD,2020-05-16,3,2,2,4,2,2,2,3,0,0,0,0,2,2,1,0,0,91.93
BE,2020-05-19,2,1,2,3,1,1,2,2,2,2,0,0,2,1,1,0,0,75.26
BF,2020-05-18,3,0,2,3,0,2,0,4,0,0,0,0,2,1,2,0,0,62.04
BG,2020-05-19,3,1,2,4,0,2,0,4,2,2,0,0,2,1,2,0,0,63.89
BH,2020-05-21,3,2,2,4,1,2,1,4,2,2,0,0,2,2,2,0,0,86.77
BI,2020-05-19,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,0,0,22.22
BJ,2020-05-21,2,0,2,4,1,0,0,2,0,0,0,0,2,2,2,0,0,48.15
BM,2020-05-18,3,2,1,4,1,1,1,4,0,0,0,0,2,1,2,0,0,80.15
BN,2020-05-21,3,0,1,3,0,0,1,4,1,0,0,0,2,2,1,0,0,56.74
BO,2020-05-21,3,3,2,4,2,2,2,4,1,1,0,0,2,0,1,0,0,97.35
BR,2020-05-21,3,3,2,4,2,2,2,4,1,1,0,0,2,1,0,0,0,75.15
BT,2020-05-21,3,2,1,4,1,0,2,4,1,2,0,0,2,1,2,0,0,78.3
BW,2020-05-21,3,2,2,4,1,2,2,4,1,2,0,0,2,1,1,0,0,78.05
BY,2020-05-19,0,0,0,0,0,0,0,3,0,0,0,0,1,3,2,0,0,15.47
BZ,2020-05-18,3,3,2,4,1,2,2,4,1,0,0,0,2,1,2,0,0,87.04
CA,2020-05-20,3,3,2,4,0,1,2,4,2,1,0,0,2,3,1,0,0,67.74
CD,2020-05-16,3,2,2,3,2,2,2,4,0,2,0,0,2,1,1,0,0,80.04
CF,2020-05-20,3,2,2,3,0,0,2,4,0,0,0,0,2,1,1,0,0,69.97
CG,2020-05-15,3,3,2,3,2,3,2,4,1,2,0,0,2,1,1,0,0,98.02
CH,2020-05-19,2,2,2,4,0,1,1,3,2,1,0,0,2,1,1,0,0,71.55
CI,2020-05-17,0,2,2,3,1,1,2,4,0,1,0,0,2,2,1,0,0,70.25
CL,2020-05-21,3,2,2,3,0,2,2,3,1,1,0,0,2,2,2,0,0,78.83
CM,2020-05-13,3,0,2,3,1,0,1,4,0,0,0,0,2,2,0,0,0,67.85
CN,2020-05-11,3,2,2,4,0,3,2,3,0,0,0,0,2,3,2,140854381,0,64.44
CO,2020-05-21,3,2,2,4,1,2,2,4,1,2,640858464,0,2,2,2,0,0,90.74
CR,2020-05-21,3,2,1,3,0,1,2,4,1,1,0,0,2,1,1,0,0,74.99
CU,2020-05-21,3,3,2,4,2,3,2,4,0,2,0,0,2,1,2,0,0,100
CV,2020-05-21,3,2,2,3,1,2,2,4,1,2,0,0,2,2,2,0,0,82.41
CY,2020-05-15,3,3,2,4,2,2,2,4,2,2,0,0,2,3,2,0,0,94.18
CZ,2020-05-16,2,2,2,3,0,1,0,2,2,2,0,0,2,2,2,0,0,59.65
DE,2020-05-18,2,2,2,4,0,2,2,4,2,2,0,0,2,1,1,0,0,71.44
DJ,2020-05-10,3,3,2,4,2,3,2,4,0,0,0,0,2,3,2,0,0,100
DK,2020-05-18,2,2,2,3,1,1,1,4,2,2,0,0,2,2,2,0,0,79.49
DM,2020-05-21,3,2,2,4,0,1,2,4,1,2,0,0,2,3,2,0,0,80.95
DO,2020-05-17,3,3,2,3,2,3,2,4,1,0,0,0,2,2,1,0,0,98.02
DZ,2020-05-14,3,2,2,4,2,2,2,3,0,1,0,0,2,0,0,0,0,82.42
EC,2020-05-20,3,3,2,3,2,2,2,4,1,2,0,0,2,3,1,0,0,85.85
EE,2020-05-15,0,2,2,4,0,2,0,2,0,2,76600000,0,2,2,0,0,0,41.54
EG,2020-05-17,3,2,2,1,2,2,2,4,0,0,0,0,2,1,2,0,0,88.75
ES,2020-05-21,3,3,2,4,1,2,1,4,2,2,0,0,2,2,1,0,0,83.07
ET,2020-05-21,3,2,2,4,1,1,2,2,0,0,0,0,2,1,2,0,0,76.19
FI,2020-05-14,1,2,2,2,1,1,1,3,1,0,0,0,2,1,1,0,0,65.74
FR,2020-05-20,2,2,2,3,1,1,2,4,2,2,0,0,2,2,1,0,0,83.46
GA,2020-05-18,3,2,2,4,1,3,2,4,0,2,0,0,1,3,2,0,0,86.24
GB,2020-05-20,3,2,2,4,1,1,1,0,2,2,0,0,2,1,0,0,0,73.01
GE,2020-05-15,3,2,2,4,2,3,2,4,1,1,0,0,2,2,2,0,0,94.18
GH,2020-05-15,3,1,2,3,1,0,0,4,0,2,0,0,2,3,2,0,0,66.53
GL,2020-05-18,3,2,2,2,2,1,1,4,0,0,0,0,2,3,2,0,0,80.95
GM,2020-05-17,3,3,2,3,1,1,1,4,0,0,0,0,2,1,1,0,0,84.78
GR,2020-05-18,2,1,2,3,1,2,2,3,1,1,0,0,2,2,0,0,0,74.34
GT,2020-05-18,3,3,2,4,2,2,2,4,1,2,0,0,2,2,2,0,0,97.35
GU,2020-05-21,3,3,2,4,0,1,0,3,1,0,0,0,2,2,1,0,0,69.71
GY,2020-05-21,3,3,2,4,1,2,2,4,0,1,0,0,2,1,2,,0,82.27
HK,2020-05-13,3,2,2,3,0,1,0,4,1,2,0,0,2,2,2,0,0,67.85
HN,2020-05-18,3,3,2,4,2,3,2,4,2,2,0,0,2,1,1,0,0,100
HR,2020-05-21,2,1,2,3,1,1,2,0,2,2,0,0,2,2,2,0,0,66.53
HU,2020-05-17,2,2,2,1,1,2,1,3,0,2,0,0,2,1,2,0,0,59.53
ID,2020-05-19,3,2,2,4,1,2,1,4,0,0,0,0,2,1,2,0,0,70.91
IE,2020-05-18,3,3,2,4,2,2,1,2,2,2,0,0,2,1,1,0,0,87.83
IL,2020-05-10,2,2,2,3,1,2,2,4,1,2,0,0,2,1,2,0,0,82.93
IN,2020-05-21,3,2,2,4,2,2,2,3,1,2,0,0,2,3,2,0,0,76.07
IQ,2020-05-16,3,2,2,4,1,2,2,4,0,0,0,0,1,2,0,0,0,80.42
IR,2020-05-16,3,2,2,1,2,1,2,0,1,1,0,0,1,0,0,0,0,58.34
IS,2020-05-21,2,2,2,3,0,0,0,3,2,2,0,0,2,3,2,0,0,56.61
IT,2020-05-17,3,1,2,4,0,1,1,2,1,1,0,0,2,2,2,0,0,68.78
JM,2020-05-21,3,1,2,4,1,2,2,3,1,1,0,0,2,1,1,0,0,74.2
JO,2020-05-21,3,0,2,4,0,1,2,0,1,1,0,0,2,2,1,0,0,72.48
JP,2020-05-21,3,1,1,0,0,1,1,3,1,0,0,0,2,1,1,0,0,43.79
KE,2020-05-17,3,2,2,4,2,3,2,4,1,1,0,0,2,1,1,0,0,94.18
KG,2020-05-21,3,2,2,4,2,2,2,4,1,1,0,0,2,1,1,0,0,78.85
KR,2020-05-21,2,2,1,0,0,0,0,3,1,1,0,0,2,3,2,0,0,43.51
KW,2020-05-18,3,3,2,4,2,3,2,4,1,1,0,0,2,2,2,0,0,100
KZ,2020-05-11,3,3,2,4,2,3,2,4,1,1,0,0,2,3,2,0,0,84.14
LA,2020-05-17,3,2,2,4,0,0,1,4,1,0,0,0,2,1,2,0,0,62.7
LB,2020-05-20,3,2,2,4,1,1,1,4,0,1,0,0,2,1,1,0,0,84.12
LK,2020-05-11,3,0,2,4,1,2,2,4,0,0,0,0,2,2,2,0,0,82.27
LR,2020-05-21,3,3,2,4,0,2,2,3,0,0,0,0,2,1,2,,,80.29
LS,2020-05-18,2,1,1,3,1,1,1,4,0,2,0,0,2,1,1,0,0,72.87
LT,2020-03-27,3,,,,,,,,,,,,,,,,,
LU,2020-05-16,2,1,2,3,1,1,1,0,2,2,0,0,2,3,2,0,0,65.73
LY,2020-05-21,3,3,2,4,2,3,2,4,0,0,0,0,2,2,1,0,0,96.83
MA,2020-05-20,3,3,2,2,2,2,2,4,1,2,0,0,2,2,2,0,0,93.38
MD,2020-05-17,3,2,2,4,2,1,2,4,1,1,0,0,1,2,2,0,0,84.92
MG,2020-05-18,1,2,2,3,1,2,2,4,0,0,0,0,2,1,1,0,0,64.43
ML,2020-05-04,3,2,2,3,0,1,2,3,1,1,0,0,2,0,2,0,0,76.19
MM,2020-05-12,3,3,2,4,2,2,2,3,0,0,0,0,2,2,1,0,0,81.89
MN,2020-05-11,3,2,2,4,1,0,0,4,0,2,0,0,2,1,2,0,0,67.99
MO,2020-05-20,2,0,2,0,0,0,0,3,1,2,0,0,2,3,2,0,0,39.02
MR,2020-05-18,3,1,2,4,0,2,2,4,1,1,0,0,2,0,2,0,0,80.95
MU,2020-05-21,3,2,2,3,1,2,1,4,0,1,0,0,2,1,2,0,0,84.78
MW,2020-05-17,3,1,2,3,0,1,0,3,2,2,0,0,2,1,2,0,0,59.26
MX,2020-05-17,3,3,2,3,1,2,2,3,0,0,0,0,2,1,1,0,0,85.45
MY,2020-05-13,3,2,2,2,0,1,2,3,1,2,0,0,2,3,2,0,0,74.2
MZ,2020-05-14,3,0,2,3,0,1,0,2,0,0,0,0,2,1,2,0,0,53.83
"NA",2020-05-15,3,2,2,4,0,0,0,3,2,1,0,0,2,1,2,0,0,61.24
NE,2020-05-19,3,0,0,0,0,0,0,4,0,1,0,0,2,1,1,0,0,33.33
NG,2020-05-18,3,2,2,3,1,1,2,4,0,0,0,0,2,1,2,0,0,76.59
NI,2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,11.11
NL,2020-05-13,2,2,2,3,1,1,1,3,2,1,0,0,2,1,1,0,0,76.71
NO,2020-05-20,0,2,2,3,0,0,1,4,0,2,0,0,2,1,1,0,0,58.07
NP,2020-05-18,3,3,2,3,2,3,2,3,1,2,0,29000000,2,1,2,0,0,95.24
NZ,2020-05-21,0,0,1,3,0,0,0,4,2,1,0,0,2,2,2,0,0,38.49
OM,2020-05-13,3,2,2,4,2,2,2,4,2,0,0,0,2,2,2,0,0,85.19
PA,2020-05-18,1,3,2,4,0,2,2,4,1,2,0,0,2,2,1,0,0,69.84
PE,2020-05-18,3,3,2,4,2,2,2,4,1,2,0,0,2,2,1,0,0,97.35
PG,2020-05-18,0,2,2,4,0,1,0,2,0,0,0,0,2,2,2,0,0,43.66
PH,2020-05-18,3,3,2,4,2,2,2,3,1,0,0,0,2,2,2,0,0,94.58
PK,2020-05-21,3,2,2,4,2,2,2,4,1,1,0,0,2,2,2,0,0,82.02
PL,2020-05-21,3,2,2,4,1,1,2,4,1,1,0,0,2,1,0,0,0,88.09
PR,2020-05-21,3,2,2,4,2,3,2,4,1,2,0,0,2,1,2,0,0,97.35
PS,2020-05-11,3,3,2,4,2,2,2,4,0,2,0,0,2,1,1,0,0,97.35
PT,2020-05-21,2,2,2,3,1,1,1,3,1,2,0,0,2,3,1,0,0,76.71
PY,2020-05-04,3,3,2,4,1,3,2,4,1,2,0,0,2,2,1,0,0,96.03
QA,2020-05-17,3,2,2,4,2,2,1,4,2,0,0,0,2,1,2,0,0,90.74
RO,2020-05-19,3,2,2,4,0,1,1,4,2,2,0,0,2,3,1,0,0,76.98
RS,2020-05-18,2,2,2,3,0,1,0,1,1,1,0,0,2,1,2,0,0,56.87
RU,2020-05-19,3,2,2,4,1,2,2,4,0,2,104548564,0,2,3,2,0,0,84.39
RW,2020-05-09,3,2,2,4,0,1,1,4,0,1,0,0,2,3,2,0,0,73.81
SA,2020-05-18,3,2,2,4,2,3,2,4,2,1,0,0,2,2,2,0,0,87.84
SB,2020-05-15,2,2,2,0,0,0,1,3,0,0,0,0,1,3,0,0,0,41.14
SC,2020-05-18,2,2,2,4,0,1,1,4,0,0,0,0,2,2,2,0,0,74.33
SD,2020-05-20,3,2,2,3,2,2,2,4,0,0,0,0,2,2,1,0,0,86.38
SE,2020-05-21,1,1,0,3,0,0,1,3,2,1,0,0,2,1,1,0,0,47.35
SG,2020-05-15,3,2,2,4,1,2,2,2,1,2,0,0,2,2,2,0,0,85.18
SI,2020-05-21,3,2,2,4,2,1,2,3,1,2,0,0,2,2,1,0,0,89.28
SK,2020-05-18,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,78.96
SL,2020-05-20,3,0,2,3,1,1,2,4,0,0,0,0,2,2,2,0,0,77.64
SM,2020-05-21,3,2,2,4,0,1,1,2,1,1,0,0,2,2,2,0,0,71.42
SN,2020-05-21,3,0,2,2,0,0,2,4,1,2,0,0,2,2,2,0,0,62.7
SO,2020-05-10,3,0,2,3,0,1,0,4,0,0,5000000,0,2,1,0,0,0,59.39
SR,2020-05-21,3,0,1,3,2,2,2,4,0,0,0,0,2,1,1,0,0,77.12
SS,2020-05-18,3,2,2,4,2,2,2,4,0,0,0,0,2,2,2,0,0,94.71
SV,2020-05-21,3,3,2,4,2,3,2,4,1,2,0,0,2,3,1,0,0,100
SY,2020-05-21,3,2,2,3,2,2,2,3,0,0,0,0,2,1,0,0,0,80.43
SZ,2020-05-18,3,0,2,3,2,2,2,4,0,0,0,0,2,3,1,0,0,84.26
TD,2020-05-19,3,3,2,3,2,1,2,4,0,2,0,0,2,1,1,0,0,86.38
TH,2020-05-18,3,2,2,3,2,1,2,4,2,2,0,0,2,2,1,0,0,80.56
TM,2020-05-19,0,2,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,28.71
TN,2020-05-21,3,2,2,4,1,1,2,3,1,2,0,0,2,1,2,0,0,87.96
TR,2020-05-19,3,2,2,0,2,2,2,4,2,1,0,0,2,2,2,0,0,80.42
TT,2020-05-19,3,3,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,93.38
TW,2020-05-11,0,0,1,0,0,0,0,4,1,0,0,0,2,2,2,0,0,29.36
TZ,2020-05-16,3,0,2,3,0,0,0,4,0,0,0,0,2,0,1,0,0,50.4
UA,2020-05-19,3,2,2,4,2,1,2,4,1,1,0,0,2,1,1,0,0,92.06
UG,2020-05-18,3,2,2,3,2,2,2,3,0,1,0,0,2,1,1,0,0,89.94
US,2020-05-20,3,3,2,4,1,2,2,3,2,1,0,0,2,3,1,0,0,68.41
UY,2020-05-15,3,1,2,0,1,1,2,4,1,2,0,0,2,1,1,0,0,71.16
UZ,2020-05-18,3,2,2,4,2,2,2,4,0,2,0,0,2,1,2,0,0,85.19
VE,2020-05-18,3,3,2,4,0,2,2,4,0,2,0,0,2,3,0,0,0,86.24
VN,2020-05-16,0,2,2,3,1,0,2,4,1,0,7630000000,0,2,3,2,0,0,69.18
XK,2020-05-16,3,2,2,4,2,2,2,4,1,2,0,0,2,1,1,0,0,94.71
YE,2020-05-18,3,0,2,0,0,1,2,4,0,0,0,0,1,0,0,0,0,54.23
ZA,2020-05-18,3,2,2,3,1,2,2,4,1,0,0,0,2,3,2,0,0,88.75
ZM,2020-05-15,3,2,0,3,0,0,0,2,0,1,0,0,2,1,2,0,0,45.37
ZW,2020-05-19,3,3,2,3,1,2,2,4,1,0,0,0,2,1,1,0,0,91.4
